,l,r,sd
0,0,0.14814552343771104,0.25898400807378436
1,1,0.1164844701695231,0.22396146791097982
2,2,0.16566127311158665,0.2150839507988036
3,3,0.1980975831124269,0.21920181608802664
4,4,0.20537389059381667,0.2253968694131895
5,5,0.23513871232690658,0.22413878365594148
6,6,0.2266230306138421,0.19593976258081855
7,7,0.24306885206518056,0.19885178951015398
8,8,0.21712796884569663,0.20480967586676874
9,9,0.17129906276900003,0.1994709816161709
10,10,0.13914476170377726,0.20253673635064828
11,11,0.11308946329441527,0.20971102389002416
12,12,0.12025870702900661,0.1881024515018235
13,13,0.12481692061927326,0.1798116525899631
14,14,0.1168221176193569,0.18084351619435732
15,15,0.15055002640650375,0.17828811688223353
16,16,0.1869306894024769,0.18036895534927708
17,17,0.23201030849547494,0.17484131075769638
18,18,0.2754361648430133,0.16838953217194302
19,19,0.3254896208730537,0.17242114524767796
20,20,0.35591653738991474,0.19334490079752834
21,21,0.3290838561467189,0.21871886134141794
22,22,0.34923235112440315,0.22480645190029083
23,23,0.38498356771395414,0.23465999441062782
24,24,0.4054161595355688,0.2434952904508971
25,25,0.4074292805421069,0.25779217125710074
26,26,0.4130740311011822,0.25736346393812576
27,27,0.43149869221260173,0.258765905036896
28,28,0.43875094793872516,0.26055546818006226
29,29,0.4483552852337033,0.24988139579455157
30,30,0.45695613638301724,0.24355112381781868
31,31,0.46814496479353096,0.25147724661920057
32,32,0.47142582253127385,0.24311338690727083
33,33,0.4685019493755414,0.24333539153568423
34,34,0.47983590131990966,0.24068851923687096
35,35,0.48817952852247926,0.23234263602644153
36,36,0.4894932271939698,0.23289631157309282
37,37,0.5014363342696071,0.22257524209635834
38,38,0.49951623548855134,0.22507705684356238
39,39,0.529580539508811,0.2181332450700256
40,40,0.5348735249982931,0.21088282623536186
41,41,0.54250718647594,0.19896698155178252
42,42,0.5506504389125257,0.18769366424282913
43,43,0.5674612425551719,0.1867695897188513
44,44,0.5779322328950611,0.18084452464326678
45,45,0.5876679738443639,0.17020134511996846
46,46,0.5810509323433516,0.15840262007469613
47,47,0.5709826244861212,0.14431016911546107
48,48,0.35752073370552073,0.2529674959117987
