layer,natstor,control,pereira,study1
0,0.9581409,0.9889293,0.9902632,0.94173753
1,0.84085125,0.86795366,0.86875325,0.82973623
2,0.7926881,0.8513604,0.8529009,0.77667123
3,0.6531532,0.72976035,0.73612,0.6355045
4,0.55042803,0.65518916,0.66519904,0.5193194
5,0.46675813,0.5536074,0.5619722,0.4285601
6,0.41085145,0.4830663,0.49446842,0.36279494
7,0.4816682,0.5652048,0.5884057,0.4259195
8,0.4846858,0.60225594,0.62939394,0.43062663
9,0.4059974,0.46708262,0.4838147,0.37027952
10,0.30839428,0.3596239,0.36446145,0.2758501
11,0.26004612,0.3128609,0.31109393,0.2241836
12,0.7524701,0.79132056,0.80092585,0.6906893
