layer,natstor,control,pereira,study1
0,0.9690064,0.99024796,0.9903241,0.96368486
1,0.846983,0.8607921,0.86496556,0.8405693
2,0.56399596,0.5892689,0.5935119,0.5568401
3,0.43790808,0.49059546,0.49304825,0.4330034
4,0.4463865,0.5268201,0.53694946,0.4361788
5,0.41133592,0.5083053,0.5159916,0.4060826
6,0.39425147,0.48075333,0.4962584,0.39349195
7,0.36631012,0.45073798,0.46811298,0.3658226
8,0.44257325,0.5255533,0.54846376,0.44154164
9,0.392802,0.44718674,0.46766943,0.3857846
10,0.42599717,0.44926843,0.47204375,0.4199846
11,0.37491712,0.3832129,0.41912287,0.37187564
12,0.33917034,0.35981125,0.39153248,0.34033057
