layer,natstor,control,pereira,study1
0,0.9331777,0.93739897,0.9384218,0.93534076
1,0.63174677,0.6131074,0.62283015,0.6207895
2,0.53026783,0.5242602,0.5270261,0.52831006
3,0.48342457,0.46483743,0.47570884,0.4787465
4,0.4064216,0.40366638,0.40994412,0.4003847
5,0.3714816,0.3882104,0.39454678,0.37615973
6,0.3236942,0.35059893,0.3563774,0.33107483
7,0.3002721,0.31948277,0.3295175,0.30660036
8,0.2604936,0.27418476,0.27866736,0.26848966
9,0.26008242,0.27664357,0.28523976,0.26532164
10,0.26600775,0.2990797,0.3112818,0.27103406
11,0.28326857,0.32571277,0.34377685,0.28652343
12,0.31809813,0.37818983,0.39551204,0.32360646
13,0.2945577,0.36360034,0.37720743,0.29947796
14,0.29015812,0.36316738,0.37512934,0.29581156
15,0.23490615,0.32446414,0.34456638,0.24281128
16,0.21890047,0.2945128,0.30747586,0.22271806
17,0.22124061,0.2909848,0.30113178,0.22323735
18,0.23489653,0.2968843,0.30516174,0.23517159
19,0.23854925,0.29056284,0.2982047,0.2364076
20,0.2676462,0.3037716,0.31085858,0.26499128
21,0.2898381,0.30966446,0.3167199,0.28585154
22,0.2710569,0.2831735,0.2959294,0.2757339
23,0.28547126,0.2901345,0.30206507,0.2876164
24,0.21956551,0.24009334,0.2600986,0.22988279
