layer,natstor,control,pereira,study1
0,0.93108964,0.9280107,0.92858267,0.9290286
1,0.8914359,0.895973,0.89375514,0.88350207
2,0.66228193,0.671815,0.6704239,0.6489259
3,0.6206232,0.64480305,0.63930464,0.6091133
4,0.6462441,0.68181115,0.67290366,0.6319914
5,0.60626304,0.65736866,0.65368843,0.5928165
6,0.67748415,0.74783146,0.75115263,0.6659733
7,0.63528866,0.6866369,0.68989414,0.62191063
8,0.60148114,0.6777923,0.684427,0.58916515
9,0.50256354,0.5707681,0.5822099,0.49217436
10,0.55071366,0.62177724,0.63508135,0.5420065
11,0.5236936,0.5853665,0.60515654,0.5590828
12,0.33745366,0.49441996,0.49874902,0.33967638
