layer,natstor,control,pereira,study1
0,0.9258967,0.9260665,0.92854327,0.8979866
1,0.32628307,0.44997445,0.43044332,0.20249529
2,0.46211636,0.6013299,0.5854986,0.2860571
3,0.46781576,0.5984462,0.57716894,0.3090955
4,0.45798573,0.58080316,0.55611837,0.31040356
5,0.46374387,0.5719669,0.5460902,0.32428965
6,0.43507174,0.5503426,0.51846313,0.30719727
7,0.45175675,0.5559103,0.5272513,0.32494098
8,0.4374904,0.5412459,0.50960726,0.3179407
9,0.4610643,0.5475085,0.5205692,0.34145617
10,0.41599855,0.50918543,0.47816804,0.3066271
11,0.42640775,0.50612617,0.4772125,0.32002264
12,0.4113687,0.4908975,0.46145925,0.3114533
13,0.42995524,0.49923068,0.47191954,0.3365559
14,0.38828722,0.46119446,0.4320043,0.29719332
15,0.38050908,0.44867924,0.41880772,0.2961196
16,0.36264747,0.4345562,0.40526363,0.28180492
17,0.3665881,0.4322754,0.40168172,0.2955933
18,0.32968685,0.40566322,0.37304762,0.2667348
19,0.30306515,0.38296485,0.3486706,0.24969144
20,0.2696664,0.3524577,0.3178123,0.22263838
21,0.25643292,0.33505225,0.3027493,0.21668836
22,0.21472877,0.2610915,0.2445031,0.18202311
23,0.12773836,0.11441152,0.12412791,0.112216346
24,0.49217537,0.45295143,0.4826445,0.43674013
