layer,natstor,control,pereira,study1
0,0.9508946,0.95206,0.95138675,0.9483389
1,0.8206944,0.82614106,0.8308011,0.812632
2,0.78341323,0.80532736,0.8215831,0.77388746
3,0.851487,0.87173736,0.87920296,0.84515303
4,0.8174748,0.8735635,0.8721315,0.8108729
5,0.8635565,0.9073229,0.9038669,0.86307764
6,0.8816575,0.92012864,0.9190078,0.8835373
7,0.8926947,0.92739743,0.92829835,0.8969427
8,0.88945633,0.9284016,0.9295544,0.89588237
9,0.8866404,0.9273345,0.92555016,0.89549905
10,0.8888566,0.93355477,0.93232447,0.8982385
11,0.88464844,0.9347035,0.9368621,0.8967616
12,0.70885235,0.8622571,0.84283775,0.7070517
