layer,natstor,control,pereira,study1
0,0.9340708,0.9337944,0.9324293,0.93308806
1,0.5884285,0.60230064,0.6022696,0.55439323
2,0.4117572,0.43521982,0.4293568,0.3788154
3,0.3117207,0.33727917,0.32843405,0.28354296
4,0.27700028,0.300062,0.2930104,0.2502295
5,0.26187783,0.2878949,0.28047153,0.23765038
6,0.25096232,0.27732164,0.27043292,0.23048072
7,0.2466142,0.27170545,0.26655602,0.22596255
8,0.23289159,0.258185,0.25453094,0.21465334
9,0.23378776,0.25460774,0.25319156,0.21581164
10,0.23464055,0.25424683,0.25371426,0.21880151
11,0.24085204,0.26109654,0.26244706,0.22460464
12,0.24787998,0.27458712,0.27863795,0.23305236
13,0.24062449,0.26434857,0.26976988,0.22866741
14,0.26229227,0.2796629,0.28561357,0.24981774
15,0.26556253,0.2961951,0.3047196,0.2518673
16,0.26877227,0.32112893,0.3264143,0.25601336
17,0.27167368,0.32953963,0.3350873,0.2606246
18,0.2736504,0.34604338,0.34860057,0.26462778
19,0.286797,0.35480535,0.37113735,0.2778993
20,0.28735557,0.39123377,0.4009093,0.27830818
21,0.31644478,0.44201034,0.44325656,0.30685362
22,0.32376423,0.5189611,0.49509215,0.3169261
23,0.36691916,0.57197624,0.5441819,0.35519317
24,0.69304657,0.9005432,0.8692135,0.65655875
