layer,natstor,control,pereira,study1
0,0.9323803,0.9448134,0.9478046,0.92875504
1,0.8965935,0.92018676,0.92562443,0.88793045
2,0.7924076,0.84518427,0.85186034,0.78180707
3,0.726863,0.830031,0.84193826,0.7257507
4,0.6812817,0.8229441,0.8393694,0.684859
5,0.6583039,0.7858908,0.80511796,0.65684277
6,0.62321633,0.75850797,0.78250337,0.6223227
7,0.61392546,0.726521,0.74942815,0.61006063
8,0.5932687,0.67351764,0.69803345,0.5836493
9,0.56516284,0.62443537,0.6497308,0.5565608
10,0.5159743,0.55873215,0.58479923,0.5090396
11,0.4925954,0.55232495,0.57177407,0.48775446
12,0.50102043,0.5624888,0.5823873,0.49613383
