layer,natstor,control,pereira,study1
0,0.97493297,0.97658974,0.9794012,0.9648001
1,0.8705943,0.8767432,0.88422984,0.82804376
2,0.7853131,0.8272111,0.8244107,0.73606217
3,0.708629,0.7789403,0.77012897,0.6624281
4,0.64965034,0.7298472,0.71596694,0.6073964
5,0.5893499,0.67558247,0.6595811,0.5390304
6,0.54449344,0.6409804,0.6242914,0.5002486
7,0.5130439,0.6090374,0.5919856,0.45455912
8,0.49552006,0.6001332,0.5846486,0.43492365
9,0.49306718,0.5990581,0.58385855,0.43064117
10,0.47833833,0.6000522,0.58792657,0.41561309
11,0.47583225,0.5989319,0.5875443,0.41092196
12,0.4733463,0.5942888,0.58756906,0.41021317
13,0.47509968,0.5903041,0.5855615,0.4091508
14,0.47249466,0.58572596,0.5852227,0.40103474
15,0.46226615,0.58547544,0.58979315,0.38622692
16,0.47606444,0.5915492,0.6006697,0.39306396
17,0.47663626,0.5906219,0.60328215,0.38414615
18,0.48211178,0.59576356,0.6104831,0.3846361
19,0.49736252,0.60649496,0.6238685,0.3959338
20,0.50139344,0.6171764,0.637588,0.4011228
21,0.51381475,0.62306404,0.64470965,0.4177132
22,0.51654816,0.6194734,0.6401419,0.4314059
23,0.5136998,0.61626035,0.6316035,0.4521887
24,0.7411337,0.9464886,0.9504274,0.675628
