layer,natstor,control,pereira,study1
0,0.98165625,0.983686,0.98560184,0.9741621
1,0.8387529,0.82455456,0.8322701,0.79166734
2,0.7115012,0.7461276,0.7406586,0.69042575
3,0.65962046,0.72602975,0.71511924,0.6265919
4,0.5836888,0.6902934,0.67474365,0.5544598
5,0.5343681,0.66268164,0.64214426,0.50243545
6,0.48525423,0.6305942,0.6087332,0.4607444
7,0.46422023,0.60554796,0.5846301,0.43079022
8,0.44548413,0.58367735,0.5648553,0.40362895
9,0.4351372,0.5851836,0.5695396,0.38512012
10,0.4438645,0.5871405,0.5744989,0.3913953
11,0.44404805,0.5946871,0.583709,0.39334366
12,0.43985742,0.5855889,0.5777507,0.3866222
13,0.44024274,0.5770928,0.571926,0.38372305
14,0.43369594,0.56464624,0.56220865,0.3749369
15,0.43495846,0.5646236,0.5657378,0.37453762
16,0.42886212,0.54470813,0.5505463,0.36011457
17,0.42425948,0.5359326,0.5450347,0.34974357
18,0.42169917,0.53393483,0.546247,0.33947438
19,0.42368358,0.53529733,0.5494514,0.33253047
20,0.4305048,0.5395657,0.5571207,0.33261436
21,0.43770444,0.54479814,0.5676416,0.3399297
22,0.44810927,0.5511515,0.57680225,0.35463446
23,0.42840454,0.5281392,0.54505146,0.3686905
24,0.69235104,0.92260617,0.9244591,0.62939376
