layer,natstor,control,pereira,study1
0,0.9866177,0.98929316,0.9909616,0.9788573
1,0.87747407,0.8886158,0.8951926,0.8150781
2,0.7426355,0.81197804,0.8041104,0.6707155
3,0.66960347,0.78640884,0.77166224,0.5808703
4,0.6242639,0.7411687,0.72355974,0.5257356
5,0.6043853,0.74554497,0.7359275,0.51340014
6,0.5989404,0.7390755,0.7332661,0.508108
7,0.5687414,0.70023507,0.70081973,0.471555
8,0.5537483,0.6849807,0.69318426,0.46312872
9,0.5063692,0.6379287,0.6516844,0.40537122
10,0.46804902,0.5839611,0.602534,0.3784283
11,0.43969038,0.56773907,0.5899833,0.36007866
12,0.6110022,0.8632438,0.8621861,0.5334074
