layer,natstor,control,pereira,study1
0,0.6032385,0.59092253,0.59610546,0.6466733
1,0.06535714,0.051328447,0.05315742,0.059195016
2,0.036675487,0.03486414,0.035451893,0.03542897
3,0.03685077,0.0350446,0.035832386,0.03513726
4,0.037496176,0.037023596,0.037312627,0.035581775
5,0.037688468,0.03867781,0.038506318,0.03583939
6,0.039178856,0.040698644,0.040222324,0.03727193
7,0.040433705,0.042571492,0.041834466,0.038345914
8,0.041821945,0.043977454,0.042988773,0.03965996
9,0.04252729,0.044904888,0.04381672,0.04040374
10,0.04476491,0.047020994,0.04582305,0.04266852
11,0.046427835,0.04865588,0.047515113,0.04430442
12,0.047119875,0.04887207,0.04804239,0.045048047
13,0.049066924,0.050715607,0.049907885,0.047104865
14,0.05095548,0.05206963,0.051514056,0.049011678
15,0.052459687,0.052931584,0.05272649,0.050714653
16,0.052904934,0.053394075,0.053318027,0.0512773
17,0.05372325,0.05353365,0.05355334,0.051936816
18,0.053259075,0.052823607,0.0528841,0.051446542
19,0.05435905,0.05362549,0.053631917,0.052479807
20,0.055622794,0.054242574,0.05447829,0.05395511
21,0.05540363,0.053185273,0.05377949,0.053629722
22,0.0545391,0.052716106,0.0533714,0.05279143
23,0.055970233,0.053372577,0.05439589,0.053986907
24,0.059115287,0.05598035,0.056954317,0.057290185
25,0.06094126,0.057518795,0.058530897,0.059085447
26,0.061481517,0.057917677,0.05894519,0.059525605
27,0.06292181,0.058628034,0.05988151,0.060841583
28,0.06254117,0.058252987,0.05944257,0.06062468
29,0.06556869,0.060442414,0.061859425,0.062904075
30,0.06803608,0.061992712,0.06384214,0.06491594
31,0.06929394,0.06284182,0.06488517,0.06586693
32,0.069683865,0.06314958,0.065766424,0.06617934
33,0.07107415,0.064453505,0.0672998,0.06726844
34,0.072287776,0.06553182,0.0687602,0.06842157
35,0.07549645,0.06863135,0.07241342,0.0713038
36,0.07927127,0.071858265,0.07586252,0.074887194
37,0.08409217,0.07601338,0.08032132,0.07945336
38,0.08946887,0.08081932,0.08536534,0.08473909
39,0.09520984,0.08601658,0.09073568,0.09061311
40,0.101093866,0.09165096,0.096452,0.09656442
41,0.10821015,0.09885229,0.10382323,0.10376362
42,0.11762725,0.108480826,0.113262944,0.11374071
43,0.12826674,0.11869325,0.12344904,0.1251144
44,0.14340298,0.1340616,0.13905713,0.14106908
45,0.17012592,0.16093315,0.16647863,0.16940314
46,0.3976414,0.3654432,0.37741128,0.39432794
47,0.5490049,0.54722065,0.55413514,0.5637559
48,0.33845264,0.3425315,0.3456217,0.35613427
