layer,natstor,control,pereira,study1
0,0.39682516,0.3976972,0.40007266,0.43898124
1,0.05210644,0.050757207,0.05050235,0.048437454
2,0.01978083,0.022685144,0.02219482,0.018704878
3,0.017477838,0.019842586,0.019784719,0.016420633
4,0.018261673,0.02094485,0.0206511,0.0172922
5,0.01827185,0.020700607,0.020351624,0.017422218
6,0.01953494,0.022051757,0.021542346,0.018739894
7,0.021037908,0.023440609,0.022912318,0.020201076
8,0.022922706,0.02525627,0.02464813,0.022147443
9,0.024372846,0.02641883,0.025942955,0.023679659
10,0.026816657,0.028701369,0.028140727,0.026154447
11,0.030215604,0.031620417,0.031118475,0.029517176
12,0.03397293,0.0343118,0.03423637,0.033008404
13,0.038225897,0.03789432,0.038033053,0.03707782
14,0.044547923,0.042832304,0.043390106,0.0429009
15,0.052397426,0.049364194,0.050370935,0.05082753
16,0.059560437,0.055563666,0.057224005,0.057700187
17,0.06951179,0.06392813,0.06643972,0.06820579
18,0.07797759,0.0703543,0.0736659,0.07660061
19,0.09082439,0.08203961,0.08592128,0.090646066
20,0.108323336,0.09791588,0.10259093,0.1075659
21,0.1350161,0.12211881,0.12837209,0.13432866
22,0.23030496,0.2098716,0.21913561,0.2263373
23,0.4159883,0.4234567,0.42303485,0.41182193
24,0.19821876,0.19938825,0.20253065,0.19869079
