layer,natstor,control,pereira,study1
0,0.8451615,0.8522716,0.8550089,0.87698406
1,0.25088102,0.14832547,0.14741138,0.21057138
2,0.21117064,0.13483307,0.13393873,0.18319689
3,0.20741893,0.13729906,0.13642055,0.17963856
4,0.20723785,0.14148168,0.14044426,0.17951208
5,0.2080202,0.14518046,0.1442053,0.1808956
6,0.20987324,0.14593579,0.14557396,0.18344606
7,0.21146339,0.14781763,0.14737158,0.18585297
8,0.21386458,0.15102035,0.15060729,0.1885516
9,0.21629278,0.15373899,0.15360342,0.19116977
10,0.22013994,0.15836912,0.1582125,0.19480851
11,0.22484516,0.16361861,0.16353436,0.19910794
12,0.23294431,0.17176883,0.17181124,0.20667973
13,0.24186733,0.18119438,0.18111163,0.2149779
14,0.25392476,0.19247963,0.19300684,0.22488087
15,0.270213,0.20701481,0.20858972,0.23740861
16,0.28899103,0.22546893,0.22906502,0.25391427
17,0.3143483,0.25100031,0.25629738,0.2795473
18,0.27483866,0.24302499,0.24843423,0.25206506
19,0.29248232,0.26455104,0.26935267,0.2733671
20,0.34112805,0.30831417,0.31571367,0.33175892
21,0.41430622,0.3750707,0.38548824,0.4148025
22,0.49848863,0.44771737,0.46462068,0.50518197
23,0.5693135,0.5008968,0.52264273,0.56388813
24,0.39703596,0.37743714,0.39121297,0.45386505
