layer,natstor,control,pereira,study1
0,0.8841456,0.8785481,0.88123494,0.90333974
1,0.6205125,0.5859068,0.59800196,0.65431535
2,0.54257864,0.52140903,0.5286497,0.57496923
3,0.5026716,0.5035972,0.5066135,0.53755164
4,0.4825826,0.505673,0.50149286,0.5157479
5,0.47802725,0.5187367,0.508333,0.5118757
6,0.4947112,0.5325221,0.5204793,0.52419907
7,0.5180961,0.5541823,0.54151386,0.54403734
8,0.5394631,0.57124895,0.5584259,0.5625838
9,0.56570494,0.59968084,0.5854912,0.58660465
10,0.5910947,0.6217892,0.60699415,0.6109411
11,0.6044134,0.63762856,0.62103325,0.6235894
12,0.62567466,0.65745485,0.64117265,0.64328104
13,0.6443582,0.676125,0.66028446,0.6600104
14,0.664775,0.69326293,0.67967397,0.6780438
15,0.6782987,0.70195717,0.68960756,0.68853587
16,0.69488776,0.71674997,0.70634085,0.70301026
17,0.7101843,0.7298779,0.72180575,0.71649086
18,0.7237425,0.74115247,0.7346818,0.72841614
19,0.733784,0.7493157,0.7448049,0.73670036
20,0.7490771,0.76136845,0.75925726,0.74999267
21,0.761837,0.76895434,0.767987,0.7612344
22,0.7798361,0.7798054,0.78071445,0.77657664
23,0.79144084,0.7882686,0.7910432,0.7840797
24,0.79635704,0.79123354,0.7958693,0.7869008
25,0.7991956,0.7930702,0.7982217,0.7877046
26,0.8068349,0.79900277,0.80541897,0.79370904
27,0.8146283,0.8027458,0.81034446,0.79931295
28,0.8154999,0.80336,0.81146,0.79923517
29,0.82180524,0.80649287,0.8160227,0.80472034
30,0.8259864,0.8059971,0.81670034,0.8081153
31,0.8283834,0.8035392,0.8168043,0.81015855
32,0.82930326,0.8004339,0.8157608,0.81005955
33,0.8292989,0.7977076,0.8153744,0.80931205
34,0.82888055,0.79167914,0.8127965,0.80816376
35,0.82605183,0.7854216,0.80865306,0.8050365
36,0.8229795,0.7801772,0.8060625,0.8021971
37,0.8188185,0.7729639,0.80246955,0.79714733
38,0.811981,0.7623535,0.7944348,0.78946435
39,0.80525064,0.7521762,0.7868881,0.78195465
40,0.79868686,0.74396205,0.78041244,0.77619815
41,0.7930481,0.7364102,0.77386594,0.7714685
42,0.787972,0.7294257,0.7679616,0.76766235
43,0.78333324,0.7237952,0.7630157,0.76416314
44,0.7784222,0.71836835,0.75733584,0.76075196
45,0.7734983,0.7136846,0.7523795,0.7575332
46,0.7729958,0.7129057,0.7512367,0.7580214
47,0.7703293,0.7088128,0.74671656,0.7566753
48,0.74459225,0.6889988,0.7240388,0.7360654
