layer,natstor,control,pereira,study1
0,0.9722692,0.99658436,0.99666023,0.9650655
1,0.8459464,0.8634065,0.8678845,0.837758
2,0.5657972,0.58663213,0.5938629,0.5572344
3,0.4532425,0.4945455,0.49916655,0.44578573
4,0.46091667,0.52525944,0.5342173,0.45059752
5,0.40244,0.5140026,0.5175056,0.39524716
6,0.3778409,0.4772083,0.48916703,0.37387228
7,0.3434799,0.42461067,0.43277606,0.33806133
8,0.38545635,0.46301216,0.47273606,0.3792932
9,0.38258237,0.435412,0.45335415,0.37579158
10,0.41276595,0.43858746,0.4646214,0.40720442
11,0.3737385,0.37075964,0.40226892,0.37134215
12,0.4744822,0.53416127,0.59767306,0.47022387
