layer,natstor,control,pereira,study1
0,0.9644943,0.97861576,0.9799946,0.96188563
1,0.7797004,0.7560839,0.7763077,0.7742004
2,0.4595202,0.44491264,0.45946634,0.45667294
3,0.3367971,0.34071678,0.34743974,0.33264887
4,0.34626517,0.36829638,0.37637582,0.33925393
5,0.3337557,0.3630787,0.37506855,0.32756194
6,0.29582244,0.34166378,0.3485769,0.29047507
7,0.27275494,0.30474707,0.31354976,0.26570198
8,0.26866767,0.29911372,0.30554384,0.2621841
9,0.24068093,0.26082915,0.26631302,0.23685114
10,0.22339314,0.23718195,0.24159203,0.22296667
11,0.18076247,0.19684662,0.20053795,0.18310215
12,0.018142678,0.020443326,0.021504268,0.01895288
