layer,natstor,control,pereira,study1
0,0.9063383,0.90859425,0.9103572,0.9078303
1,0.48346284,0.47614565,0.48263037,0.47081304
2,0.37590262,0.38387275,0.38392946,0.37411886
3,0.35946247,0.36679468,0.37000757,0.3540624
4,0.2864652,0.2975923,0.2977807,0.2851641
5,0.2669967,0.27927256,0.28140464,0.26648152
6,0.24469729,0.2536985,0.25926033,0.24303398
7,0.22827512,0.2412004,0.24597724,0.22643371
8,0.21625991,0.22189946,0.22666234,0.21256788
9,0.21121918,0.21710789,0.22372775,0.20767741
10,0.20947526,0.2288717,0.23367803,0.20712116
11,0.21099174,0.2329154,0.23872644,0.20911361
12,0.21187916,0.25416157,0.25979266,0.21308771
13,0.21408583,0.27577946,0.27914637,0.21491984
14,0.19902404,0.27997136,0.2757277,0.20497371
15,0.1756588,0.27682096,0.26654962,0.18115956
16,0.16514713,0.25504723,0.24611548,0.17233679
17,0.16672985,0.24160211,0.23628558,0.17228404
18,0.16562578,0.22466578,0.22357757,0.1704228
19,0.18263058,0.23152924,0.23391283,0.18372113
20,0.17628983,0.21047162,0.20973712,0.1765603
21,0.16943124,0.19189937,0.18978517,0.17055388
22,0.17796724,0.20756914,0.20543951,0.18381743
23,0.18737566,0.21722798,0.21280402,0.19390851
24,0.020363769,0.026458997,0.026788993,0.023000399
