model,avg_rank,avg_rank_se,p@k,p@k_se,mrr,mrr_se,r@k,r@k_se,map,map_se,encod,encod_se,best_layer
nllb200_1B,33.324392247837224,3.761336906569743,0.7464356483495238,0.02270650747610563,0.6492210788462066,0.02507422424529563,0.7464356483495238,0.02270650747610563,0.7030784944752116,0.0158598299459909,0.33942959521794225,0.0586804582811584,21
mt5_small,39.57926151466822,1.9849354975912534,0.6158716350103909,0.015832592499645783,0.4304124519411285,0.0168317734321499,0.6158716350103909,0.015832592499645783,0.5737903365361527,0.007292513330826639,0.22163873558655667,0.05997375686780401,8
nllb200_distilled_1B,28.694045720361512,4.449025373983243,0.7759895606785557,0.025432997621685365,0.6819249225706785,0.027594830650898135,0.7759895606785557,0.025432997621685365,0.7286776173477486,0.016989330298029567,0.30643705048819986,0.056979988618945,17
nllb200_distilled_600M,48.25496592721473,5.443980544638178,0.6503552269102508,0.028006958056574084,0.5307450873338996,0.02842507435700527,0.6503552269102508,0.028006958056574084,0.6399628481883924,0.014238474350665168,0.2548783634632241,0.06736465567970508,10
mt5_large,139.11828814460392,7.557909528715685,0.3463583200425306,0.01998846114614942,0.2507061593611025,0.016600801434795753,0.3463583200425306,0.01998846114614942,0.530147518082776,0.0038042075913188827,0.3063832987454586,0.062077403671901614,17
xlm_align,7.9332318399304045,0.7938944307306385,0.9060461070030448,0.009507633845065271,0.7879431986656354,0.015745367250458737,0.9060461070030448,0.009507633845065271,0.7774689501641723,0.013187237078193019,0.32374292987086617,0.06716578185853647,6
xglm_xl,7.690749601275918,3.346191543286246,0.8956937799043061,0.04401528618079288,0.7848224316289534,0.0658117953818536,0.8956937799043061,0.04401528618079288,0.7935278242001991,0.049176024641927184,0.4976604604983995,0.09691558186435975,29
xlmr_large,31.88231598279445,3.1756727586847346,0.81632110579479,0.01750415636463239,0.712268632477167,0.021501976630304884,0.81632110579479,0.01750415636463239,0.7352921089900555,0.013778744384978836,0.35077412054055923,0.06015274251375479,14
xglm_med,173.79728867623606,20.60512593069223,0.16634768740031897,0.05791816492212276,0.10654029895700204,0.04534332728727541,0.16634768740031897,0.05791816492212276,0.5119141554044602,0.00895685436407475,0.3865919006671102,0.09982840096761439,0
xglm_large,2.758373205741627,0.6772426901957284,0.966188197767145,0.01235813118201627,0.8866592848061423,0.032403315219383375,0.966188197767145,0.01235813118201627,0.8636643442737626,0.03266619838660284,0.4861720538606661,0.11327317674126966,24
xlmr_base,7.141293315934465,0.7076559120583014,0.9144797254845102,0.008468208507527854,0.7946490624596241,0.015239200622318963,0.9144797254845102,0.008468208507527854,0.7812474924377124,0.012869684379692643,0.3445240955324969,0.07131036062650688,6
bert_base,17.578367406118602,1.354636633390894,0.7931951089845826,0.013533333995134303,0.6200283240744817,0.018498214641061404,0.7931951089845826,0.013533333995134303,0.6618759653030846,0.012144305038589773,0.3888390427165629,0.05256670610605187,11
infoxlm_base,5.734304770189938,0.5808897295898782,0.9342951041515634,0.007222573000393956,0.8423069020852039,0.012539787372574445,0.9342951041515634,0.007222573000393956,0.8228953222772045,0.01169806636338036,0.35217803850368545,0.06442884347463544,6
mdeberta,204.84862983906044,3.7317506376527407,0.1077279976801508,0.006600152899140598,0.06178288552928557,0.00405099013947344,0.1077279976801508,0.006600152899140598,0.5028578020153305,0.00019827765586186188,0.34476901158885426,0.07987860364760654,11
mt5_base,116.10461070030448,6.83990122906867,0.4933787637136919,0.01829943556950804,0.36323361009970473,0.017501088720867284,0.4933787637136919,0.01829943556950804,0.5572497330469904,0.006416019381151452,0.2759122577548232,0.05583905275570056,12
mgpt,141.03763955342902,15.548730253848182,0.42725500620237467,0.04823616934379803,0.3580168100811833,0.04281915875930253,0.42725500620237467,0.04823616934379803,0.588432974078907,0.014177541239815286,0.462063513556828,0.07337236998270157,14
infoxlm_large,3.8898071625344346,0.6163169352117445,0.9695761442172925,0.006013019513584244,0.9290779463470976,0.011296320395016969,0.9695761442172925,0.006013019513584244,0.9173635810960964,0.011485496329211002,0.42283872413667994,0.059805225528313466,15
xglm_small,132.51275917065394,18.30068464684107,0.4133971291866029,0.058790339301717516,0.3217151084485786,0.054030613127552155,0.4133971291866029,0.058790339301717516,0.5525809594306195,0.018028048009326322,0.3897864813655042,0.1222020056559172,13
multiminilm,5.4232516553090715,0.38453076740338565,0.9251606978879706,0.005784746282784489,0.794169917878396,0.011408654340154263,0.9251606978879706,0.005784746282784489,0.7725456683699399,0.010268765649870584,0.27535741470020064,0.06855209264729384,8
distilmbert,70.92835049055145,6.195773207164066,0.4560920206853221,0.03206907627447003,0.30205191715833407,0.027309374562585285,0.4560920206853221,0.03206907627447003,0.5519497147092668,0.009324390446913246,0.2784650175783541,0.07351037396926349,6
