model,avg_rank,avg_rank_se,p@k,p@k_se,mrr,mrr_se,r@k,r@k_se,map,map_se,mean_diag_dist,mean_diag_dist_se,mean_diag_sim,mean_diag_sim_se,mean_margin,mean_margin_se,mean_zmargin,mean_zmargin_se,row_auc,row_auc_se,encod,encod_se,best_layer
nllb200_1B,32.027113237639554,3.4342251143028464,0.7476439031462955,0.021751748932453217,0.6412409856715593,0.0243534571184274,0.7476439031462955,0.021751748932453217,0.6952276132354427,0.015365560462409946,0.022917893757535654,0.0005794121209603764,0.9770821034908295,0.0005794116827528403,0.0015021117418324468,0.0006076590155927778,2.6287803600789275,0.09247536689119233,0.9504356511288962,0.005485995819706822,0.14743837742179472,0.031029074612614498,17
mt5_small,118.75397515828138,5.780261836450405,0.2554008989415688,0.019216338529105207,0.15056365779308978,0.014404103573963663,0.2554008989415688,0.019216338529105207,0.5133378611092034,0.002883650053204932,0.053433854640884834,0.001326838632352058,0.9465661337881377,0.0013268374406975002,-0.010519357239404186,0.0005440405443587998,1.134636621893906,0.04187093421428814,0.8118939521327281,0.009233664836002345,0.17990891302139952,0.043225378386150225,2
nllb200_distilled_1B,26.78949784930646,4.017228380141937,0.7800251316997728,0.024621619530948352,0.6796277073817463,0.026974331527739683,0.7800251316997728,0.024621619530948352,0.7251257721942915,0.01656040615380691,0.02813463755459948,0.0007851360778505472,0.9718653613870795,0.0007851347055925575,0.002577750123512515,0.0007416120923764232,2.971100514815961,0.11482632062356736,0.9588024874762268,0.006417336217955033,0.13465272092659936,0.03270308646703947,15
nllb200_distilled_600M,52.7802426175632,5.482853071888176,0.6131409791696872,0.027950965977287585,0.48878276817390853,0.028259734051335805,0.6131409791696872,0.027950965977287585,0.6201590317681981,0.0136106589203771,0.03198601161553101,0.0011320534142405512,0.9680139928153066,0.0011320530383278622,-0.002572050474995966,0.0008445659424202686,2.064017016023007,0.09283813007318859,0.9172834942512549,0.008758555573617509,0.14922508265417642,0.023428532569189215,9
mt5_large,139.11828814460392,7.500434097413394,0.3463583200425306,0.019836455433315858,0.2507061593611025,0.016474557766648707,0.3463583200425306,0.019836455433315858,0.530147518082776,0.003775277836173791,0.01789001541240423,0.0013328564505567788,0.9821099855683066,0.001332856078080219,-0.009938989253538293,0.0012411363312045218,0.7800740528094803,0.03234195927195514,0.7793627918977598,0.011981503402479414,0.22623351788026913,0.03226882590700566,17
xlm_align,7.828500314146247,0.7652439061170662,0.9105649799429703,0.008748986956921568,0.798299493882616,0.014697346808196178,0.9105649799429703,0.008748986956921568,0.7856899003850768,0.012683556799729219,0.04831040983624531,0.0012931960407125572,0.9516895955259149,0.00129319708826191,0.004509393452143272,0.0004438405235326159,3.1204404532698544,0.05204272875654543,0.9890918139309232,0.0012224346096177611,0.23720756926468947,0.03930437142460887,7
xglm_xl,62.1334928229665,12.106928663638232,0.4553429027113237,0.0815493592481774,0.3223141208556483,0.08224874829412042,0.4553429027113237,0.0815493592481774,0.5722826349620609,0.03952852192312806,0.3886373370885849,0.024538630588022425,0.6113626599311829,0.02453862548271233,-0.025458106849691832,0.007611383966606105,1.7357670541743702,0.15870362197034382,0.9023424084463263,0.01934019278046262,0.27397342339147107,0.057189929462711994,48
xlmr_large,31.88231598279445,3.1515228054752047,0.81632110579479,0.01737104297754863,0.712268632477167,0.021338461126979114,0.81632110579479,0.01737104297754863,0.7352921089900555,0.01367396153817156,0.03490347451897281,0.0010378812043625794,0.9650965188488816,0.0010378813155342646,0.0008520514966221526,0.00045456309323115246,2.5852121536390196,0.09214295239773762,0.9506669180454282,0.0050343999148580966,0.2463052678224408,0.039548736575936654,14
xglm_med,9.096012759170653,2.633742118036144,0.8700159489633175,0.03781636760699331,0.7115552359363043,0.05671372736972418,0.8700159489633175,0.03781636760699331,0.7265686326879981,0.043528901156540616,0.00786737110465765,0.0008249363016407795,0.9921326577663422,0.0008249443107444997,0.0003132139470835682,0.0001864395777739976,3.288444327448662,0.247369859427646,0.9870663079423798,0.00420755078023331,0.29319354494428673,0.05587004143400569,16
xglm_large,53.311004784689,17.565843943536116,0.5738437001594896,0.11004410228702961,0.4100286038137823,0.10273684480070881,0.5738437001594896,0.11004410228702961,0.6149737109193165,0.047528505001726666,0.024741179123520852,0.0038700662792382143,0.9752587974071503,0.003870069674104332,-0.0021230932761682197,0.0009279691979619291,2.2358532282679575,0.29609904933505876,0.9164360945931487,0.028060453583923506,0.2904779464911194,0.05911037071550835,40
