lang,mod,ppx,ppx_random,ppx_diff,ppx_ratio,ppx_residuals
fr,multiminilm,330.63535940572103,415.91524804147014,-85.2798886357491,0.7949584944593183,0.5604731413075115
ta,multiminilm,146.70339610514932,201.02056240183762,-54.3171662966883,0.7297929841221469,-17.019319449610805
es,multiminilm,305.1700128085124,371.7928278219086,-66.62281501339618,0.8208066158680474,9.250742624787563
tr,multiminilm,281.80661551965784,360.38534878725176,-78.57873326759392,0.7819591347649881,-5.2820086474303025
vi,multiminilm,552.3513537444619,712.4274490829273,-160.0760953384654,0.7753089166559718,-7.256655399778538
mr,multiminilm,157.83681172833815,198.95187931526712,-41.11506758692897,0.7933416475962191,-4.284515123220473
af,multiminilm,340.45271400650296,426.06990746902227,-85.61719346251931,0.7990536483294255,2.5170021774064253
nl,multiminilm,310.72291006431084,402.86990724134284,-92.146997177032,0.7712735661791922,-9.253444664578524
no,multiminilm,298.08586011545094,355.2639300934685,-57.17806997801756,0.8390546713735497,14.961778460375115
fa,multiminilm,422.2535754877475,522.8396007384956,-100.5860252507481,0.8076159014950794,9.407455863460086
ro,multiminilm,186.6892529601669,268.00327105528135,-81.31401809511445,0.6965931879303753,-28.8854614066924
lt,multiminilm,239.4130407542569,302.4345923879563,-63.021551633699374,0.7916192352994569,-2.815311077128513
af,mgpt,283.1432694086975,426.6223220989215,-143.47905269022397,0.6636860162770496,-55.22007222679457
fa,mgpt,357.70550911508036,555.3158439925256,-197.61033487744527,0.6441478538471072,-80.28080206732841
fr,mgpt,278.3362555648699,415.66529169116836,-137.3290361262985,0.6696163021753295,-51.54513693616093
lt,mgpt,214.94323756534376,303.60215978181094,-88.65892221646718,0.7079766419310605,-28.188940109102475
mr,mgpt,134.05816265848745,199.9078308006438,-65.84966814215636,0.670599856551771,-28.80317600030685
ro,mgpt,151.9324833060138,268.1849750890926,-116.25249178307877,0.5665212350376488,-63.78289000902387
es,mgpt,260.7055354982135,378.8983689515597,-118.19283345334617,0.688061910162362,-40.71420663746261
ta,mgpt,117.0006681638479,200.87690401771948,-83.87623585387158,0.582449578939783,-46.610839968692545
tr,mgpt,246.58743372631847,360.3808352543638,-113.79340152804531,0.6842412514868397,-40.49769646886779
vi,mgpt,426.36234244094123,712.5236423022533,-286.16129986131205,0.5983834319704971,-133.3201308567276
es,xglm_med,265.6128994610441,372.1232835185046,-106.5103840574605,0.7137766198062583,-30.5621798521085
vi,xglm_med,441.58553559718194,712.7294637978705,-271.14392820068855,0.6195696376071458,-118.25626622214276
ta,xglm_med,122.9586673473583,201.01463991840612,-78.05597257104782,0.6116901107166546,-40.759463552495674
tr,xglm_med,252.47188422293598,360.5156314165862,-108.0437471936502,0.7003077320971901,-34.717593057997334
fr,xglm_med,278.36042615151507,416.4243348062838,-138.06390865476874,0.6684537931266803,-52.10854937645672
fr,distilmbert,327.8103893490984,415.94730188582696,-88.13691253672857,0.7881055793915903,-2.289310123573273
ta,distilmbert,140.80960703638885,201.04729851744432,-60.237691481055464,0.7003804978964748,-22.933805218498037
es,distilmbert,304.94440361920664,372.0670593861256,-67.12265576691897,0.8195952743635386,8.812847981102948
tr,distilmbert,283.34557444099545,360.47531386316444,-77.129739422169,0.7860332276416374,-3.8126926101015783
vi,distilmbert,531.178859129074,712.3601655767217,-181.18130644764767,0.7456605307218932,-28.37706516589742
mr,distilmbert,153.32627173691648,198.95490984512907,-45.628638108212584,0.7706583961977569,-8.797401078756764
af,distilmbert,333.5021627211261,426.3241372967817,-92.82197457565559,0.7822737057202126,-4.630351013894881
nl,distilmbert,298.8724258497426,402.7378616170408,-103.86543576729815,0.742101635663789,-21.00171101289294
no,distilmbert,297.12908609257147,355.26780697149314,-58.138720878921674,0.8363524086954865,14.00200330662517
fa,distilmbert,415.8255247244553,523.0304498920166,-107.20492516756127,0.7950311971517251,2.8316668214300194
ro,distilmbert,177.64645802312228,267.1722900436645,-89.5258320205422,0.6649134833335043,-37.28498545646721
lt,distilmbert,240.0419117137431,302.4184494609477,-62.37653774720462,0.793740964354559,-2.1739437129895407
fr,infoxlm_base,387.504811694704,415.9396381142651,-28.43482641956109,0.9316371323770071,57.41104482586263
ta,infoxlm_base,152.49018103846942,200.9779063136548,-48.4877252751854,0.7587410170373984,-11.199514002814226
es,infoxlm_base,362.3144837768408,371.8843950200757,-9.569911243234912,0.9742664350228563,66.32433048990862
tr,infoxlm_base,316.6874341613053,360.65114165710855,-43.96370749580325,0.8780990757611353,29.393057019320565
vi,infoxlm_base,603.2917115476012,712.6017804388606,-109.31006889125945,0.8466042719905357,43.54875072041909
mr,infoxlm_base,162.69271005605577,198.94659205032204,-36.253881994266266,0.8177707814914662,0.5754761302859492
af,infoxlm_base,394.16592167399887,426.0950973469124,-31.929175672913516,0.9250656112409623,56.21071010318252
nl,infoxlm_base,347.0603146385046,402.8106998898892,-55.75038525138456,0.8615965631830925,27.12979292501518
no,infoxlm_base,333.46090112639433,355.25151731485914,-21.79061618846481,0.9386614409048342,50.346428330002254
fa,infoxlm_base,469.3045841003594,523.0185703210627,-53.713986220703305,0.8973000400583669,56.31992229452652
ro,infoxlm_base,210.06800859374735,267.8848295686159,-57.816820974868534,0.7841728437255184,-5.415019008731377
lt,infoxlm_base,271.4185496257095,302.46324428202706,-31.044694656317574,0.8973604388526282,29.168018070523885
fr,nllb200_distilled_1B,339.58210412774326,415.97253280209,-76.39042867434671,0.8163570364616082,9.462873145128242
ta,nllb200_distilled_1B,156.45970043505127,201.0303182779352,-44.570617842883934,0.7782890748784337,-7.27056724302534
es,nllb200_distilled_1B,313.3250640155818,379.1524603031431,-65.82739628756127,0.8263827795422178,11.708627169803208
tr,nllb200_distilled_1B,292.26935054374036,360.25190225345756,-67.9825517097172,0.811291623210118,5.284028701250293
vi,nllb200_distilled_1B,546.1038589125914,712.3635140674544,-166.25965515486303,0.7666084072644971,-13.454657483251708
mr,nllb200_distilled_1B,166.07896474244953,200.00271993352143,-33.923755191071905,0.8303835307722427,3.1441714368640987
af,nllb200_distilled_1B,347.2890211046036,426.9969910617591,-79.70796995715551,0.8133289657171685,8.635644398769728
nl,nllb200_distilled_1B,313.27902970491084,402.6542738527752,-89.37524414786435,0.7780347808240498,-6.53040101578847
no,nllb200_distilled_1B,308.56827450537736,355.40201062482237,-46.83373611944501,0.8682232100006753,25.337303300869053
fa,nllb200_distilled_1B,449.2129462131421,555.317443041472,-106.10449682832984,0.8089300126299008,11.225397190614103
ro,nllb200_distilled_1B,187.56539664568444,267.91994391946434,-80.3545472737799,0.700080008609086,-27.944813334382246
lt,nllb200_distilled_1B,250.5477321587401,303.43373087903217,-52.885998720292065,0.825708240916117,7.545937017971198
fr,mt5_base,338.4594811027013,416.01960937244723,-77.56012826974592,0.8135661720688047,8.303807666215505
ta,mt5_base,142.71918325444616,201.02977121201812,-58.310587957571954,0.709940534648104,-21.010660934317258
es,mt5_base,312.77072500308253,372.0064591086043,-59.23573410552177,0.8407669204253565,16.68608065867261
tr,mt5_base,288.784717919636,360.43940338362324,-71.65468546398722,0.8012018530956128,1.654249537478222
vi,mt5_base,552.0068186150158,712.2699296373868,-160.26311102237094,0.7749966629870784,-7.479253117805456
mr,mt5_base,156.71315348148022,198.94402336148312,-42.2308698800029,0.7877248626701944,-5.402091996027309
af,mt5_base,346.5915653934162,426.15225690036806,-79.56069150695185,0.8133045402935583,8.592106028542787
nl,mt5_base,312.891705134963,402.77910637625234,-89.88740124128935,0.7768320158163272,-7.014359716979641
no,mt5_base,306.3735206784052,355.2871063337042,-48.91358565529896,0.8623265950739097,23.231498059081616
fa,mt5_base,424.8429388821246,522.747211069689,-97.9042721875644,0.8127120143075952,12.068339043965807
ro,mt5_base,188.5874941321263,267.80784005672035,-79.22034592459406,0.7041895938975663,-26.835935102958757
lt,mt5_base,246.7095348757204,302.42932156891294,-55.71978669319253,0.8157593106245951,4.485263239183325
es,xglm_xl,260.9626674105614,372.0794942014125,-111.11682679085112,0.7013626697452404,-35.17851414504321
vi,xglm_xl,441.43025840515395,712.7376141518807,-271.3073557467268,0.6193446924089058,-118.41785268644333
ta,xglm_xl,123.69063031075817,200.93703665159447,-77.2464063408363,0.6155690975239465,-39.967427107753764
tr,xglm_xl,247.66786215036996,360.5723119022011,-112.90444975183112,0.686874321668785,-39.565492073312555
fr,xglm_xl,279.1292000552044,415.9071914614763,-136.7779914062719,0.6711333821239274,-50.93944952836017
fr,nllb200_distilled_600M,340.51673986634813,415.84739229265017,-75.33065242630204,0.8188502469355669,10.494381430055284
ta,nllb200_distilled_600M,148.79992600215596,201.0330302175903,-52.23310421543434,0.7401765065228373,-14.932441016102644
es,nllb200_distilled_600M,311.3450446067175,379.2506497843989,-67.90560517768137,0.8209479529796846,9.652598280764323
tr,nllb200_distilled_600M,290.90257564346837,360.43838117904534,-69.53580553557697,0.807079908337965,3.7728985603133083
vi,nllb200_distilled_600M,540.4376335258996,712.4875000486284,-172.04986652272873,0.7585222666910141,-19.21686168414476
mr,nllb200_distilled_600M,158.95196319404698,199.87907425137615,-40.92711105732917,0.7952406413196733,-3.887114726290463
af,nllb200_distilled_600M,344.80462656017625,427.07197435258956,-82.26734779241332,0.8073688915852539,6.093204523163195
nl,nllb200_distilled_600M,309.3218641350794,402.6452410175943,-93.32337688251488,0.7682243141713007,-10.480574175660877
no,nllb200_distilled_600M,309.49703771318343,355.23757456714,-45.74053685395654,0.8712395868886005,26.393358140187445
fa,nllb200_distilled_600M,443.6164686453975,555.1564889745848,-111.54002032918731,0.7990836411996012,5.753515809748308
ro,nllb200_distilled_600M,185.93665614241152,268.0513555346107,-82.11469939219919,0.6936605702723389,-29.67528091094684
lt,nllb200_distilled_600M,250.19425137531834,303.62158777004885,-53.4273363947305,0.824033143403511,7.047034296773859
fr,xlm_align,385.0382830033482,415.8671280825082,-30.828845079159976,0.92586852146428,55.000646890579674
ta,xlm_align,152.03799787668274,201.08607886814175,-49.04808099145902,0.7560841542709611,-11.735434643713262
es,xlm_align,357.5147504184113,371.9491050291851,-14.434354610773767,0.9611926620722984,61.47450445259341
tr,xlm_align,314.62391089975563,360.3766951558472,-45.75278425609156,0.8730417785858614,27.541985597110738
vi,xlm_align,600.4498153037415,712.1196059890244,-111.66979068528292,0.8431867487622521,41.080110642258774
mr,xlm_align,163.49837234689738,198.93382205393317,-35.43544970703579,0.8218731770134651,1.3910238057424635
af,xlm_align,389.8693869013999,426.0904455686813,-36.2210586672814,0.9149920890177695,51.9177763196173
nl,xlm_align,341.58441131091706,402.8201819850864,-61.235770674169316,0.8479823667910551,21.64654941070205
no,xlm_align,345.26314152904865,355.26184520849876,-9.998703679450102,0.9718553967607132,62.140673804719256
fa,xlm_align,472.3479056575344,522.880206045173,-50.53230038763866,0.9033577867293124,59.470353050676806
ro,xlm_align,206.54390347509357,267.9415731000364,-61.397669624942836,0.7708542615668681,-8.983049874536306
lt,xlm_align,270.0960082758444,302.431468139505,-32.33545986366062,0.8930816952925514,27.87007495709068
fr,mt5_small,345.90129727165356,416.09994411812903,-70.19864684647547,0.8312937844890785,15.683435888137808
ta,mt5_small,145.4531921989648,201.01873900191347,-55.56554680294866,0.723580263816003,-18.268111843293042
es,mt5_small,317.94931906785376,371.8898576773846,-53.94053860953085,0.8549556071617194,21.954937082112792
tr,mt5_small,293.2349280570628,360.4993504053409,-67.26442234827812,0.8134131940247691,6.058054073200026
vi,mt5_small,570.5663751290862,712.4237895217562,-141.85741439267008,0.8008805763099268,10.961198888520471
mr,mt5_small,158.37083401486152,199.02553757959257,-40.65470356473105,0.7957312209320235,-3.807512451327284
af,mt5_small,354.7569375978238,426.285818271043,-71.52888067321919,0.8322044093248737,16.654087011950196
nl,mt5_small,322.4912185427291,402.9000209203335,-80.40880237760439,0.800424923796408,2.491552507405004
no,mt5_small,311.32495732011256,355.11210229106223,-43.78714497094967,0.876694867089998,28.318407117381298
fa,mt5_small,435.29435278821273,522.864651632187,-87.57029884397429,0.8325182270964145,22.42884101129306
ro,mt5_small,194.6288545315004,267.99238906595974,-73.36353453445935,0.7262476938611764,-20.937435976295575
lt,mt5_small,251.161720240542,302.4239880806289,-51.26226784008688,0.8304953645858942,8.941577311752468
fr,mdeberta,359.53143006187486,416.11854868481987,-56.58711862294501,0.8640120254148879,29.299166693289408
ta,mdeberta,159.0939869192318,201.08511003991893,-41.99112312068712,0.7911773621012956,-4.678695621342996
es,mdeberta,330.456336540978,379.08216589878487,-48.62582935780688,0.8717274677311251,28.894315311476362
tr,mdeberta,305.57598425419474,360.34345033618524,-54.767466081990506,0.848013149591328,18.51979410595419
vi,mdeberta,587.4965306413956,712.4321309341825,-124.93560029278694,0.8246350847076982,27.884897228286263
mr,mdeberta,171.21730505051082,199.93861477949318,-28.721309728982362,0.8563493612244023,8.33213619931584
af,mdeberta,368.9818579036926,427.2657661036439,-58.28390819995127,0.8635886307216735,30.120419693140605
