model,language,mrr,r,r_last
nllb200_1B,af,0.6202627490567816,0.47437951915341814,0.41079734051476896
nllb200_1B,nl,0.8017550557731046,0.20687589129735337,0.2704037837042086
nllb200_1B,fa,0.572894154007558,0.571866505682576,0.5339778841274467
nllb200_1B,fr,0.7789416157875144,0.28856030425798335,0.35695673641313125
nllb200_1B,lt,0.36882378108556907,0.40473216470750784,0.29376498633785264
nllb200_1B,no,0.6526025971204288,0.4061088266667614,0.3821929172290943
nllb200_1B,ro,0.6752642298779586,0.15633696212788192,0.1000757393223413
nllb200_1B,es,0.7221336174660444,0.13875910947872083,0.1109936012221766
nllb200_1B,ta,0.7122813718601619,0.7529880017476316,0.7377046638216974
nllb200_1B,tr,0.49760277109064915,0.04595423589363679,0.03210363937431718
nllb200_1B,vi,0.681624941400783,0.210570379963494,0.1296617505505761
nllb200_1B,mr,0.7064660616279274,0.4160232416383422,0.3949266212266023
mt5_small,af,0.41879804915025365,0.12484172783526679,0.12484172783526679
mt5_small,nl,0.5225860439077744,-0.044039542661481045,-0.044039542661481045
mt5_small,fa,0.4528969984242584,0.5279142237347989,0.5279142237347989
mt5_small,fr,0.5247762491035618,0.4656759576399708,0.4656759576399708
mt5_small,lt,0.3755333471769982,0.3270178997824679,0.3270178997824679
mt5_small,no,0.47498112750027577,0.31259227760721586,0.31259227760721586
mt5_small,ro,0.472786584628667,0.22437752965320149,0.22437752965320149
mt5_small,es,0.5468740305332335,-0.06668959254528749,-0.06668959254528749
mt5_small,ta,0.3610308371482557,0.5117744622382185,0.5117744622382185
mt5_small,tr,0.3791000968485218,0.04655484538011887,0.04655484538011887
mt5_small,vi,0.34581613317729687,0.14032147557714816,0.14032147557714816
mt5_small,mr,0.28976992569444504,0.08932356279704143,0.08932356279704143
nllb200_distilled_1B,af,0.6816411344385801,0.19977060218163162,0.06386966376854317
nllb200_distilled_1B,nl,0.831828027841755,0.2708250625291372,-0.04839398190191533
nllb200_distilled_1B,fa,0.6790165212161301,0.6123279170677997,0.5874365743358116
nllb200_distilled_1B,fr,0.8095459632192278,0.5115786809823896,0.35648783631687675
nllb200_distilled_1B,lt,0.31366722988269036,0.28878498826712123,0.21145949570687728
nllb200_distilled_1B,no,0.6599625011212429,0.18827167965092198,0.033879525905757324
nllb200_distilled_1B,ro,0.7117546090479171,0.05047604566639541,0.02974596711267564
nllb200_distilled_1B,es,0.7681702651594489,0.26251738695520715,0.12515506163181553
nllb200_distilled_1B,ta,0.7400202022097736,0.6701682075713595,0.6533541415116781
