model,language,mrr,r,r_last
nllb200_1B,af,0.5924082242002192,0.36861707156036494,0.36436120481777
nllb200_1B,nl,0.792059040702489,0.3036206464337831,0.21473828838778275
nllb200_1B,fa,0.5876996643751546,0.47137930704998376,0.3666119558337316
nllb200_1B,fr,0.7768602685533054,0.37776680907826965,0.2791948627051956
nllb200_1B,lt,0.3790237756980014,0.36807505403500257,0.34808461632368387
nllb200_1B,no,0.6445116835075599,0.2277815221954032,0.17743036645840254
nllb200_1B,ro,0.6645140858652314,0.38826737363713987,0.33136619455152083
nllb200_1B,es,0.7276786792439117,0.27434715602609316,0.2531215809140476
nllb200_1B,ta,0.7214497799975879,0.2917034124557226,0.37963880478460194
nllb200_1B,tr,0.4873847575541053,0.2479458287446616,0.25405323424134496
nllb200_1B,vi,0.6638276664091576,0.2547503267921504,0.19478430074284261
nllb200_1B,mr,0.7203833422340058,-0.1612985444423453,-0.03259951424556386
mt5_small,af,0.22733242924189023,0.05858423325767703,0.05291567991093706
mt5_small,nl,0.2878002430560444,0.15317363903444087,0.07325903498222737
mt5_small,fa,0.23077034744425298,0.41028861373411224,0.4405746518273617
mt5_small,fr,0.30278968952972085,0.28781334274784354,0.17299246164962537
mt5_small,lt,0.21389854984205742,0.3596230696906421,0.3126912875691711
mt5_small,no,0.240928873053463,0.06743099126510949,-0.0065277818433719355
mt5_small,ro,0.27894513734182474,0.19368150764380038,0.2667715683873563
mt5_small,es,0.31570688467470714,0.24911165627615767,0.13973721345287032
mt5_small,ta,0.18264823170846942,0.22242594718054612,0.21242413266805066
mt5_small,tr,0.2298959440997048,0.3896245301391974,0.2746835384435397
mt5_small,vi,0.05416345783732784,0.13974643153700805,0.08663326942479388
mt5_small,mr,0.0960217727147811,0.11252036035373868,0.04313230070744415
nllb200_distilled_1B,af,0.6606293485276618,0.3229319452938993,0.3115430936372826
nllb200_distilled_1B,nl,0.8109432628308454,0.3189134054984341,0.31280655359323584
nllb200_distilled_1B,fa,0.6507916300447099,0.30617869357722755,0.23299332570070436
nllb200_distilled_1B,fr,0.79431025385568,0.3387140066875655,0.0715031360963071
nllb200_distilled_1B,lt,0.3024604912416175,0.38370535332555755,0.29347567507550143
nllb200_distilled_1B,no,0.6369686554510956,0.17292782483452668,-0.05325122681067332
nllb200_distilled_1B,ro,0.688651713264783,0.3791837102301232,0.25609187178129456
nllb200_distilled_1B,es,0.7632293354125661,0.3180251400291841,0.2667507137850359
nllb200_distilled_1B,ta,0.7133990053304129,0.422587271802457,0.33833958964355704
nllb200_distilled_1B,tr,0.5308208012563739,0.3160801946349138,0.20353114794190758
nllb200_distilled_1B,vi,0.6961527879427938,0.15392486946070286,0.09833192319265918
nllb200_distilled_1B,mr,0.7145579612481577,-0.03257285058813039,-0.013952661486058563
nllb200_distilled_600M,af,0.4773448518439391,0.1247513106858637,0.05165034102539819
nllb200_distilled_600M,nl,0.5732995552350033,0.3034783464373355,0.18828932279078958
nllb200_distilled_600M,fa,0.5233673476784868,0.38034006692551653,0.37450315182708066
nllb200_distilled_600M,fr,0.6715317452991978,0.2980360045567093,0.25673679888788475
nllb200_distilled_600M,lt,0.2164796653787546,0.284713164538824,0.24571859217439984
nllb200_distilled_600M,no,0.4791461547149691,0.15974790544970888,0.05302653802882685
nllb200_distilled_600M,ro,0.48523830510505966,0.24380899726835337,0.22908560405675726
nllb200_distilled_600M,es,0.615398171243135,0.20713288920019796,0.1355073798690233
nllb200_distilled_600M,ta,0.4573702281364868,0.44799329189278636,0.2543539631005702
nllb200_distilled_600M,tr,0.3634385417769978,0.31637361774456674,0.2972977947616487
nllb200_distilled_600M,vi,0.5238638096612291,0.24622872488883285,0.23909364640015277
nllb200_distilled_600M,mr,0.47891484201364387,0.11469203431964732,0.037379378144290244
mt5_large,af,0.2858083232676764,0.43080570811847335,0.30154093391532844
mt5_large,nl,0.3398795425890166,0.27876295089414665,0.22272276929284462
mt5_large,fa,0.2982135965377389,0.4105723134835393,0.39272437815132183
mt5_large,fr,0.31885621008282516,0.3756765853124603,0.3398944373236209
