>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: RH
>>> Loaded fMRI data
Processing - RH mode
Encoding for xglm_small already done
Encoding for xglm_med already done
Encoding for xglm_large already done
Encoding for xglm_xl already done
Encoding for bert_base already done
Encoding for distilmbert already done
Encoding for xlmr_base already done
Encoding for xlmr_large already done
Encoding for mt5_small already done
Encoding for mt5_base already done
Encoding for mt5_large already done
Encoding for mdeberta already done
Encoding for xlm_align already done
Encoding for infoxlm_base already done
Encoding for infoxlm_large already done
Encoding for multiminilm already done
Encoding for nllb200_distilled_600M already done


Processing Lang_RH_AntTemp (1/6)
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=0 | mean r=0.050
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=1 | mean r=0.039
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=2 | mean r=0.069
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=3 | mean r=0.073
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=4 | mean r=0.073
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=5 | mean r=0.076
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=6 | mean r=0.083
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=7 | mean r=0.082
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=8 | mean r=0.076
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=9 | mean r=0.080
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=10 | mean r=0.078
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=11 | mean r=0.098
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=12 | mean r=0.099
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=13 | mean r=0.101
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=14 | mean r=0.114
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=15 | mean r=0.125
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=16 | mean r=0.137
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=17 | mean r=0.126
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=18 | mean r=0.134
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=19 | mean r=0.131
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=20 | mean r=0.140
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=21 | mean r=0.110
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=22 | mean r=0.105
WITHIN     nllb200_distilled_1B | fROI=Lang_RH_AntTemp | layer=23 | mean r=0.097
