>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-across
>>> Loaded fMRI data
Processing - native mode (across)


Processing Lang_LH_AntTemp (1/6)
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=0 | mean r=0.073
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=1 | mean r=0.065
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=2 | mean r=0.070
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=3 | mean r=0.085
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=4 | mean r=0.100
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=5 | mean r=0.105
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.109
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=7 | mean r=0.111
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=8 | mean r=0.128
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=9 | mean r=0.147
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=10 | mean r=0.156
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.169
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=12 | mean r=0.170
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=13 | mean r=0.163
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=14 | mean r=0.172
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=15 | mean r=0.173
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.176
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=17 | mean r=0.171
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=18 | mean r=0.183
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=19 | mean r=0.181
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.182
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.179
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=22 | mean r=0.174
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=23 | mean r=0.173
ACROSS     xglm_small | fROI=Lang_LH_AntTemp | layer=24 | mean r=0.161


Processing Lang_LH_IFG (2/6)
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=0 | mean r=0.008
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=1 | mean r=-0.017
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=2 | mean r=-0.009
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=3 | mean r=-0.004
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=4 | mean r=0.000
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=5 | mean r=-0.003
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=6 | mean r=-0.000
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=7 | mean r=0.003
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=8 | mean r=0.016
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=9 | mean r=0.030
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=10 | mean r=0.031
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=11 | mean r=0.031
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=12 | mean r=0.038
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=13 | mean r=0.035
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=14 | mean r=0.033
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=15 | mean r=0.034
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=16 | mean r=0.027
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=17 | mean r=0.024
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=18 | mean r=0.031
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=19 | mean r=0.035
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=20 | mean r=0.036
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=21 | mean r=0.038
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=22 | mean r=0.041
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=23 | mean r=0.039
ACROSS     xglm_small | fROI=Lang_LH_IFG | layer=24 | mean r=0.043


Processing Lang_LH_IFGorb (3/6)
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=0 | mean r=0.059
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=1 | mean r=0.051
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=2 | mean r=0.052
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=3 | mean r=0.053
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=4 | mean r=0.063
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=5 | mean r=0.060
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=6 | mean r=0.050
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=7 | mean r=0.050
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=8 | mean r=0.063
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=9 | mean r=0.079
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=10 | mean r=0.093
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=11 | mean r=0.096
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=12 | mean r=0.091
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=13 | mean r=0.089
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=14 | mean r=0.099
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=15 | mean r=0.100
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=16 | mean r=0.090
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=17 | mean r=0.082
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=18 | mean r=0.085
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=19 | mean r=0.095
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=20 | mean r=0.108
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=21 | mean r=0.112
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=22 | mean r=0.116
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=23 | mean r=0.118
ACROSS     xglm_small | fROI=Lang_LH_IFGorb | layer=24 | mean r=0.094


Processing Lang_LH_MFG (4/6)
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=0 | mean r=0.086
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=1 | mean r=0.157
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=2 | mean r=0.159
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=3 | mean r=0.172
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=4 | mean r=0.173
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=5 | mean r=0.170
ACROSS     xglm_small | fROI=Lang_LH_MFG | layer=6 | mean r=0.164
