>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=0 | mean r=-0.059
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=1 | mean r=-0.057
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=2 | mean r=-0.046
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=3 | mean r=-0.057
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=4 | mean r=-0.047
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=5 | mean r=-0.001
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=6 | mean r=-0.053
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=7 | mean r=-0.048
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=8 | mean r=-0.057
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=9 | mean r=-0.047
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=10 | mean r=-0.024
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.026
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=12 | mean r=-0.013
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=13 | mean r=-0.017
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=14 | mean r=-0.043
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=15 | mean r=-0.051
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.065
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=17 | mean r=-0.007
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=18 | mean r=-0.058
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=19 | mean r=-0.020
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=20 | mean r=-0.061
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=21 | mean r=-0.038
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=22 | mean r=-0.039
WITHIN-SPLIT xglm_small | fROI=Lang_LH_AntTemp | layer=23 | mean r=-0.067
