>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=0 | mean r=0.007
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=1 | mean r=-0.026
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=2 | mean r=-0.018
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=3 | mean r=-0.006
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=4 | mean r=-0.004
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=5 | mean r=0.005
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=6 | mean r=0.018
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=7 | mean r=0.025
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=8 | mean r=0.033
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=9 | mean r=0.036
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=10 | mean r=0.036
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=11 | mean r=0.051
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=12 | mean r=0.077
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=13 | mean r=0.096
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=14 | mean r=0.080
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=15 | mean r=0.096
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.092
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=17 | mean r=0.093
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=18 | mean r=0.102
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=19 | mean r=0.102
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.088
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.085
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=22 | mean r=0.076
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=23 | mean r=0.082
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=24 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=25 | mean r=0.098
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=26 | mean r=0.089
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=27 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=28 | mean r=0.092
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=29 | mean r=0.100
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=30 | mean r=0.097
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=31 | mean r=0.098
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=32 | mean r=0.095
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=33 | mean r=0.088
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=34 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=35 | mean r=0.087
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=36 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=37 | mean r=0.103
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=38 | mean r=0.110
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=39 | mean r=0.108
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=40 | mean r=0.105
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=41 | mean r=0.102
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=42 | mean r=0.089
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=43 | mean r=0.093
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=44 | mean r=0.091
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=45 | mean r=0.095
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=46 | mean r=0.092
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=47 | mean r=0.093
WITHIN-SPLIT xglm_large | fROI=Lang_LH_AntTemp | layer=48 | mean r=0.078


[WITHIN-SPLIT] Processing Lang_LH_IFG (2/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=0 | mean r=0.076
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=1 | mean r=0.072
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=2 | mean r=0.066
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=3 | mean r=0.065
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=4 | mean r=0.056
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=5 | mean r=0.060
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=6 | mean r=0.078
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=7 | mean r=0.096
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=8 | mean r=0.107
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=9 | mean r=0.114
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=10 | mean r=0.119
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=11 | mean r=0.109
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=12 | mean r=0.108
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=13 | mean r=0.119
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=14 | mean r=0.108
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=15 | mean r=0.128
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=16 | mean r=0.132
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=17 | mean r=0.155
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=18 | mean r=0.138
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=19 | mean r=0.141
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=20 | mean r=0.126
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=21 | mean r=0.141
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=22 | mean r=0.134
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=23 | mean r=0.144
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=24 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=25 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=26 | mean r=0.148
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=27 | mean r=0.151
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=28 | mean r=0.157
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=29 | mean r=0.167
WITHIN-SPLIT xglm_large | fROI=Lang_LH_IFG | layer=30 | mean r=0.169
