Lang1,Lang2,1to2,2to1,transfer,iso1,iso2,syn,geo,pho,gen,inv,feat
Farsi,Marathi,0.005169307365735474,0.025995875541922765,0.01558259145382912,fas,mar,0.67,1.0,0.0002,1.0,0.6284,0.7
Farsi,Spanish,0.23481205467875113,0.29077245489382425,0.2627922547862877,fas,cat,0.66,1.0,0.6162,1.0,0.6461,0.6
Farsi,Romanian,0.14936111386109374,0.16610516359103797,0.15773313872606587,fas,spa,0.56,1.0,0.5922,1.0,0.6832,0.6
Farsi,French,0.4071488695331736,0.34481601418619834,0.375982441859686,fas,ita,0.61,1.0,0.0002,1.0,0.6737,0.7
Farsi,Lithuanian,0.3967986912664092,0.6076955796797832,0.5022471354730962,fas,ron,0.61,1.0,0.641,1.0,0.6552,0.6
Afrikaans,Farsi,0.37762103786169865,0.1718927422747842,0.27475689006824144,fra,fas,0.57,1.0,0.5456,1.0,0.6025,0.6
Dutch,Farsi,0.300104657431602,0.19043446591760738,0.24526956167460467,lit,fas,0.61,1.0,0.641,1.0,0.6506,0.6
Farsi,Norwegian,0.16403741292986734,0.4900584685915034,0.3270479407606854,fas,afr,0.71,1.0,0.0002,1.0,0.669,0.7
Farsi,Turkish,0.18808580393654725,0.04992394548417775,0.1190048747103625,fas,nld,0.63,1.0,0.0002,1.0,0.6068,0.6
Farsi,Vietnamese,-0.002559066655193206,0.2797187663134596,0.13857984982913318,fas,eng,0.57,1.0,0.5687,1.0,0.5983,0.6
Farsi,Tamil,0.15744591993615137,0.21322574735759364,0.1853358336468725,fas,nob,0.67,1.0,0.5922,1.0,0.5898,0.6
Marathi,Spanish,-0.1339096897002867,0.12944655065147007,-0.002231569524408311,mar,cat,0.79,0.4,0.6162,0.9091,0.4488,0.6
Marathi,Romanian,-0.3094801141247909,-0.2597082516152289,-0.2845941828700099,mar,spa,0.77,0.4,0.5922,0.9231,0.5499,0.7
French,Marathi,0.0010613547410854153,0.000680700126748093,0.0008710274339167542,ita,mar,0.74,0.3,0.0002,0.9,0.5248,0.6
Lithuanian,Marathi,0.12401647676839088,-0.11214025067963752,0.005938113044376678,ron,mar,0.74,0.3,0.641,0.8889,0.4744,0.6
Afrikaans,Marathi,0.04166487105978187,0.061515814802852786,0.051590342931317326,fra,mar,0.69,0.4,0.5456,0.9375,0.5174,0.6
Dutch,Marathi,0.0909521447574192,-0.04210058350025722,0.024425780628580987,lit,mar,0.64,0.3,0.641,0.75,0.5408,0.6
Marathi,Norwegian,-0.006151863493257094,-0.08663981872451265,-0.046395841108884874,mar,afr,0.69,0.3,0.0002,0.875,0.5324,0.6
Marathi,Turkish,-0.06993388300807493,0.11109362039690374,0.020579868694414402,mar,nld,0.7,0.4,0.0002,0.9,0.5625,0.6
Marathi,Vietnamese,0.062036947306420065,0.13154506723418932,0.0967910072703047,mar,eng,0.7,0.4,0.5687,0.9,0.4513,0.6
Marathi,Tamil,-0.3768661435881958,-0.03148540022350534,-0.20417577190585057,mar,nob,0.67,0.4,0.5922,1.0,0.4265,0.5
Romanian,Spanish,0.2631813265586798,0.2070896342442782,0.23513548040147902,spa,cat,0.54,0.0,0.3613,0.2308,0.4565,0.5
French,Spanish,0.028916500361444514,0.16390788675553197,0.09641219355848825,ita,cat,0.41,0.0,0.6162,0.3636,0.3459,0.4
Lithuanian,Spanish,0.47823894765516684,0.26849944729165587,0.37336919747341135,ron,cat,0.48,0.1,0.2163,0.3333,0.3681,0.4
Afrikaans,Spanish,0.08686256589535096,0.055489451346352664,0.07117600862085181,fra,cat,0.58,0.0,0.3333,0.4375,0.4096,0.5
Dutch,Spanish,0.21878288285117525,0.11346691057750448,0.16612489671433986,lit,cat,0.59,0.1,0.2163,0.75,0.4737,0.5
Norwegian,Spanish,0.1787550291840836,0.08104677885201014,0.12990090401804688,afr,cat,0.52,0.4,0.6162,0.9091,0.4617,0.5
Spanish,Turkish,0.21359830730671392,0.21099339149055224,0.21229584939863308,cat,nld,0.47,0.1,0.6162,0.9091,0.4234,0.5
Spanish,Vietnamese,0.09789973949691214,0.0009675605590149942,0.049433650027963565,cat,eng,0.53,0.1,0.2804,0.9,0.4581,0.5
Spanish,Tamil,0.34092049244148165,0.4781618328331652,0.40954116263732343,cat,nob,0.51,0.1,0.3613,1.0,0.5587,0.5
French,Romanian,-0.06915385473420214,-0.2065960385080152,-0.13787494662110866,ita,spa,0.47,0.1,0.5922,0.4615,0.5037,0.5
Lithuanian,Romanian,0.29808795513805847,0.3408458474777821,0.3194669013079203,ron,spa,0.47,0.1,0.4278,0.3333,0.5114,0.5
Afrikaans,Romanian,-0.008622322882236516,-0.15619644774117636,-0.08240938531170644,fra,spa,0.41,0.0,0.4788,0.4375,0.5804,0.5
Dutch,Romanian,0.06539204140405401,-0.0627447419289019,0.001323649737576052,lit,spa,0.64,0.1,0.4278,0.75,0.5404,0.6
Norwegian,Romanian,0.21849020826782659,0.19568612141199085,0.20708816483990872,afr,spa,0.69,0.4,0.5922,0.9231,0.5793,0.7
Romanian,Turkish,0.20832643890459068,0.17060873510612448,0.1894675870053576,spa,nld,0.58,0.1,0.5922,0.9231,0.557,0.6
Romanian,Vietnamese,0.07836850498250182,-0.23448442192154567,-0.07805795846952193,spa,eng,0.4,0.1,0.3433,0.9,0.5481,0.5
Romanian,Tamil,0.5558431639342869,0.34468861868994094,0.4502658913121139,spa,nob,0.61,0.1,0.5064,1.0,0.6445,0.6
French,Lithuanian,0.1896461261489913,0.23322590354719805,0.21143601484809466,ita,ron,0.42,0.0,0.641,0.3333,0.3812,0.4
Afrikaans,French,0.3706034309210698,0.3937345382753741,0.3821689845982219,fra,ita,0.55,0.0,0.5456,0.5625,0.4379,0.5
