Model,Score_mono,sd_mono,Score_multi,Family,sd_multi,n,color,se_mono,se_multi
NLLB$_{d-small}$,0.2548783634632241,0.23335801254326505,0.26060802949236184,NLLB,0.0998400657149836,12,tomato,0.06736465567970508,0.028821344408227857
NLLB$_{d-large}$,0.30643705048819986,0.19738447060541825,0.2833832970655385,NLLB,0.12652161507284967,12,tomato,0.056979988618945,0.03652364426030799
NLLB$_{large}$,0.33942959521794225,0.20327507030878442,0.2844129969638524,NLLB,0.15757992731439613,12,tomato,0.0586804582811584,0.045489406726924135
XLM-Align,0.32374292987086617,0.23266909341814626,0.33140391559316845,XLM-Align,0.17798845399046986,12,firebrick,0.06716578185853647,0.05138084091202155
InfoXLM$_{small}$,0.35217803850368545,0.2231880607419422,0.31620820206340916,InfoXLM,0.16669647117154107,12,firebrick,0.06442884347463544,0.04812112625192497
InfoXLM$_{large}$,0.42283872413667994,0.20717137834630833,0.3371722723082233,InfoXLM,0.1571175091672676,12,firebrick,0.059805225528313466,0.04535591810606272
mMiniLM,0.27535741470020064,0.23747141486056358,0.30450264592456233,XLM-R,0.1201082538739924,12,lightsteelblue,0.06855209264729384,0.034672266353022715
XLM-R$_{base}$,0.3445240955324969,0.2470263354223382,0.3133764890119894,XLM-R,0.16357649681110825,12,lightsteelblue,0.07131036062650688,0.047220467233494656
XLM-R$_{large}$,0.35077412054055923,0.20837521249686344,0.35283765255228494,XLM-R,0.16618163013818407,12,lightsteelblue,0.06015274251375479,0.0479725044473257
DistilmBERT,0.2784650175783541,0.254647405196306,0.2384228091406223,BERT,0.12343028312439332,12,steelblue,0.07351037396926349,0.03563125359401011
mBERT,0.3888390427165629,0.18209641152444594,0.34416732831087987,BERT,0.16155710523387534,12,steelblue,0.05256670610605187,0.04663751909813731
mDeBERTa,0.34476901158885426,0.2767075999106223,0.32938250002950614,DeBERTa,0.16381283928240029,12,teal,0.07987860364760654,0.04728869342820535
mT5$_{small}$,0.22163873558655667,0.20775518803163887,0.22033536023835612,mT5,0.12150974478989304,12,darkorange,0.05997375686780401,0.03507684193180374
mT5$_{base}$,0.2759122577548232,0.19343215283878457,0.23898746906744672,mT5,0.1347585984216595,12,darkorange,0.05583905275570056,0.0389014565371809
mT5$_{large}$,0.3063832987454586,0.21504243432339273,0.32489654041723,mT5,0.1265881487597406,12,darkorange,0.062077403671901614,0.03654285088132631
mGPT,0.462063513556828,0.23202380646990614,0.2977538529397969,mGPT,0.24394190246813105,10,yellowgreen,0.07337236998270157,0.07714120285539444
XGLM$_{small}$,0.3897864813655042,0.27325199163344466,0.32444391459423816,XGLM,0.21174020554608322,5,forestgreen,0.1222020056559172,0.094693098634164
XGLM$_{med}$,0.3865919006671102,0.22322309064869156,0.28746447414078535,XGLM,0.1773484789936012,5,forestgreen,0.09982840096761439,0.07931265094717715
XGLM$_{large}$,0.4861720538606661,0.25328652322082706,0.2758631608002531,XGLM,0.18439025055902064,5,forestgreen,0.11327317674126966,0.08246182692763775
XGLM$_{xl}$,0.4976604604983995,0.2167098291276542,0.3050453554222715,XGLM,0.159930548688047,5,forestgreen,0.09691558186435975,0.07152311570906257
