Model,Score_mono,sd_mono,Score_multi,Family,sd_multi,n,se_mono,se_multi,color
NLLB$_{d-small}$,0.23081186408001586,0.21988233085186298,0.19688687592223522,NLLB,0.10651100231117723,12,0.06347456145368273,0.030747077928007516,tomato
NLLB$_{d-large}$,0.21322600528090327,0.23407194174572127,0.19318026184589612,NLLB,0.1341462464333166,12,0.06757074928831529,0.03872468574452661,tomato
NLLB$_{large}$,0.3127966386536844,0.20294297328716376,0.26089882462628,NLLB,0.11622791170452026,12,0.05858459012874352,0.033552108054976416,tomato
XLM-Align,0.29583500426932713,0.20472520027932586,0.24858336479888254,XLM-Align,0.15762873118438991,12,0.05909907474558442,0.04550349519066334,firebrick
InfoXLM$_{small}$,0.32632526228715425,0.21995900632976106,0.23967597207781924,InfoXLM,0.19505232835649042,12,0.06349669575758508,0.056306757141341514,firebrick
InfoXLM$_{large}$,0.34541603749317407,0.20232438799856428,0.18938476980389793,InfoXLM,0.1816534729741938,12,0.058406019937298694,0.0524388407604406,firebrick
mMiniLM,0.26894955402228615,0.2109717676094803,0.2673284536494655,XLM-R,0.11277597531146129,12,0.06090230341037232,0.03255561985209739,lightsteelblue
XLM-R$_{base}$,0.2950583603362829,0.2233789184842389,0.2935380070625676,XLM-R,0.21743934049426247,12,0.06448393935908141,0.06276933088338857,lightsteelblue
XLM-R$_{large}$,0.314853824641397,0.23402601134329726,0.18618278503127725,XLM-R,0.1869707629030493,12,0.06755749032321355,0.0539738101463326,lightsteelblue
DistilmBERT,0.2784650175783541,0.254647405196306,0.13427251090984885,BERT,0.17972618470943444,12,0.07351037396926349,0.05188248056120819,steelblue
mBERT,0.3844996038112119,0.1674317124922271,0.24586824603761295,BERT,0.18408697294343762,12,0.048333372139133676,0.053141331691598535,steelblue
mDeBERTa,0.2341552032513828,0.23924784375227715,0.18404136636813306,DeBERTa,0.12674975630715882,12,0.06906490349670737,0.03658950296182881,teal
mT5$_{small}$,0.22163873558655667,0.20775518803163887,0.1724406130983338,mT5,0.13274136828868596,12,0.05997375686780401,0.03831913235703605,darkorange
mT5$_{base}$,0.2759122577548232,0.19343215283878457,0.23041391924307722,mT5,0.08580491380497803,12,0.05583905275570056,0.02476974504154835,darkorange
mT5$_{large}$,0.22340850168132723,0.2246001662716792,0.2731292273395211,mT5,0.09865276002199959,12,0.06483648322849435,0.02847859877750051,darkorange
mGPT,0.4606943067310595,0.2173858115834324,0.1822254158395336,mGPT,0.22016898781344854,10,0.06874342956078608,0.06962354716243524,yellowgreen
XGLM$_{small}$,0.3108337145068062,0.22475769723186412,0.27050725537258813,XGLM,0.16827363034837645,5,0.10051469789535289,0.07525425525592827,forestgreen
XGLM$_{med}$,0.3656153671205497,0.24323367285992542,0.21129183390202289,XGLM,0.18387639304625694,5,0.10877740538634778,0.08223202286178002,forestgreen
XGLM$_{large}$,0.4512814344989676,0.2566922883473921,0.21791636342895457,XGLM,0.1811521527932056,5,0.11479628120894918,0.08101370558320722,forestgreen
XGLM$_{xl}$,0.44122695127246814,0.25903020649484193,0.295570681001908,XGLM,0.14930713828911246,5,0.11584182998965481,0.06677218214808342,forestgreen
