Model,Score_mono,sd_mono,Score_multi,Family,sd_multi,n,se_mono,se_multi,color
NLLB$_{d-small}$,0.1359449635310914,0.1930873973201584,0.14922508265417642,NLLB,0.08476762027704199,12,0.05573953040995884,0.024470304192757086,tomato
NLLB$_{d-large}$,0.18890321470363447,0.1463457739625545,0.13465272092659936,NLLB,0.11832421887023922,12,0.042246385996022484,0.03415725980819241,tomato
NLLB$_{large}$,0.19750380217293273,0.15965109930727428,0.14743837742179472,NLLB,0.11226741608943777,12,0.04608730258073725,0.032408811450230314,tomato
XLM-Align,0.21110076589759683,0.16716379161412329,0.23720756926468947,XLM-Align,0.14220856651221178,12,0.04825603004358629,0.041052077078448136,firebrick
InfoXLM$_{small}$,0.2457316091812568,0.16740959372077616,0.2348880516581389,InfoXLM,0.12630659605744013,12,0.048326986999808,0.03646157361709419,firebrick
InfoXLM$_{large}$,0.2636455843267779,0.1537361716531183,0.2488783933098864,InfoXLM,0.13620669661302715,12,0.04437981004405518,0.03931948647748046,firebrick
mMiniLM,0.19101951187679342,0.17790311944831666,0.24713106889984193,XLM-R,0.12290315691012182,12,0.051356206951579886,0.035479085363156825,lightsteelblue
XLM-R$_{base}$,0.2056355138421707,0.1713338799532331,0.21719356777310614,XLM-R,0.1507390898705817,12,0.04945983085615108,0.04351462705708977,lightsteelblue
XLM-R$_{large}$,0.23468762258883316,0.16249020285730434,0.2463052678224408,XLM-R,0.14309271289634926,12,0.04690688118017078,0.04130730815489054,lightsteelblue
DistilmBERT,0.17309292321714473,0.140955688973537,0.13984679848507434,BERT,0.1004120579383774,12,0.04069040248634038,0.028986464340303247,steelblue
mBERT,0.2503803166001091,0.1295986241846991,0.21603757141306335,BERT,0.12624118425245184,12,0.03741190027982059,0.03644269085548511,steelblue
mDeBERTa,0.2393628944114394,0.19170565508877463,0.20670528703948496,DeBERTa,0.11749283662803439,12,0.055340655785338796,0.033917260427524194,teal
mT5$_{small}$,0.12808184408714915,0.16459025052924742,0.17990891302139952,mT5,0.15639530348508907,12,0.04751311272452447,0.0451474352835547,darkorange
mT5$_{base}$,0.15877734291147763,0.12961292627828078,0.17235665235615807,mT5,0.12085493443320816,12,0.03741602893861026,0.034887814463953656,darkorange
mT5$_{large}$,0.2167259993626897,0.14110452117359823,0.22623351788026913,mT5,0.11675300504600458,12,0.0407333666417251,0.03370368944600424,darkorange
mGPT,0.3080642640084742,0.1600211062647268,0.1846173730816401,mGPT,0.17349688975907931,10,0.05060311694963758,0.05486453385938326,yellowgreen
XGLM$_{small}$,0.26898358691398105,0.25581159723168423,0.26602775619828956,XGLM,0.18264806454853236,5,0.11440242416856859,0.08168269765785756,forestgreen
XGLM$_{med}$,0.2723937896683846,0.14866355511908652,0.29319354494428673,XGLM,0.13967510358501423,5,0.06648436300461286,0.062464605276083274,forestgreen
XGLM$_{large}$,0.35462382630306993,0.21768289630891807,0.2904779464911194,XGLM,0.14777592678877088,5,0.09735075073715577,0.06608740354754478,forestgreen
XGLM$_{xl}$,0.35320235140235057,0.18492294378930013,0.27397342339147107,XGLM,0.14297482365678,5,0.08270005458244953,0.06394028495352103,forestgreen
