ppx_mean,ppx_se,mod,Model
-14.03052225172957,4.628579946319196,bert_base,mBERT
-8.804562273659458,4.4698435584139355,distilmbert,DistilmBERT
33.317749824791804,7.658795209244814,infoxlm_base,InfoXLM$_{small}$
36.38205752601241,7.7151817203822715,infoxlm_large,InfoXLM$_{large}$
18.82602186077116,4.877984359293367,mdeberta,mDeBERTa
-56.896389128046756,9.841074820871624,mgpt,mGPT
0.6065869470876208,4.282564380758132,mt5_base,mT5$_{base}$
3.0471404713628942,4.634184732382839,mt5_large,mT5$_{large}$
7.539919218403102,4.487130901734612,mt5_small,mT5$_{small}$
-3.1749386250919045,3.4816760038753958,multiminilm,mMiniLM
-0.40233692014130895,4.178420475682203,nllb200_1B,NLLB$_{large}$
2.2619619404018465,4.045197972381533,nllb200_distilled_1B,NLLB$_{d-large}$
-0.748773456011655,4.459541703473225,nllb200_distilled_600M,NLLB$_{d-small}$
-56.420956157274965,15.832518996015045,xglm_large,XGLM$_{large}$
-55.2808104122402,16.156573575314884,xglm_med,XGLM$_{med}$
-39.653757330426295,9.408020158721293,xglm_small,XGLM$_{small}$
-56.81374710818261,15.618830463302755,xglm_xl,XGLM$_{xl}$
32.4012678677368,7.887236944060588,xlm_align,XLM-Align
0.21881322792123115,4.251504331801876,xlmr_base,XLM-R$_{base}$
26.710468502235244,6.137582198380846,xlmr_large,XLM-R$_{large}$
