text,start,end
A,0.0,1.12
kertbejáratánál,1.12,2.18
nagy,2.18,2.42
rózsabokor,2.42,3.02
állt.,3.02,3.4
Fehér,3.86,4.26
rózsák,4.26,4.66
nőttek,4.66,5.04
"rajta,",5.04,5.42
de,5.74,5.88
három,5.88,6.2
kertész,6.2,6.68
éppen,6.68,6.96
azon,6.96,7.22
"fáradozott,",7.22,7.86
hogy,7.92,8.04
pirosra,8.04,8.44
fesse,8.44,8.76
őket.,8.76,9.2
Aliz,10.12,10.46
ezt,10.46,10.64
nagyon,10.64,10.86
"furcsálotta,",10.86,11.68
úgyhogy,11.88,12.1
közelebb,12.1,12.6
"ment,",12.6,12.76
hogy,12.8,12.9
megfigyelje,12.9,13.4
"őket,",13.4,13.8
és,14.24,14.44
"alig,",14.44,14.7
hogy,14.74,14.8
odaért,14.8,15.1
"hozzájúg,",15.1,15.72
"hallotta,",15.78,16.22
amint,16.4,16.6
az,16.6,16.76
egyik,16.76,17.04
őket,17.04,17.66
ezzel,17.66,18.12
ezt,18.12,18.36
mondja.,18.36,18.76
Vigyázz,19.9,20.52
"már,",20.52,20.72
ötös!,20.82,21.1
Befröcskölj,21.42,22.04
össze,22.04,22.26
festékkel!,22.26,22.94
Nem,23.86,24.12
tehetek,24.12,24.56
"róla,",24.56,24.9
feled,25.08,25.42
ötös,25.42,25.8
morcosan.,25.8,26.44
Hetes,26.94,27.32
meglőtte,27.32,27.76
a,27.76,27.92
kanyakam.,27.92,28.32
Erhetes,29.24,29.76
"felpillantott,",29.76,30.48
és,30.56,30.7
így,30.7,30.84
szólt.,30.84,31.2
"Persze,",31.5,31.96
"ötös,",32.06,32.36
fogd,32.5,32.74
mindig,32.74,33.02
másra.,33.02,33.48
Te,34.24,34.42
ne,34.42,34.6
is,34.6,34.76
"beszélj,",34.76,35.28
mondta,35.32,35.64
"ötös,",35.64,36.02
pont,36.28,36.5
tegnap,36.5,36.86
"hallottam,",36.86,37.34
hogy,37.36,37.48
a,37.48,37.56
királynő,37.56,38.0
azt,38.0,38.14
"mondta,",38.14,38.5
le,38.62,38.8
kellene,38.8,39.08
fejezni,39.08,39.54
téged.,39.54,39.92
Miért?,41.08,41.58
kérdezte,41.96,42.66
"az,",42.66,42.82
aki,42.92,43.04
először,43.04,43.42
beszélt.,43.42,43.9
Neked,44.8,45.24
aztán,45.24,45.56
semmi,45.56,45.9
között,45.9,46.16
"hozzá,",46.16,46.52
"kettes,",46.6,46.98
közölte,47.16,47.6
hetes.,47.6,48.0
De,48.86,49.02
igenis,49.02,49.38
van,49.38,49.6
hozzá,49.6,50.02
"köze,",50.02,50.36
vágott,50.52,50.96
vissza,50.96,51.24
"ötös,",51.24,51.62
és,52.3,52.56
