text,start,end
女,0.0,0.54
王,0.54,0.74
様,0.74,1.0
の,1.0,1.24
黒,1.24,1.74
系,1.74,1.96
の,1.96,2.14
会。,2.14,2.3
庭,3.62,3.84
の,3.84,4.0
入,4.0,4.12
口,4.12,4.32
には,4.32,4.6
大,4.6,5.04
き,5.04,5.2
な,5.2,5.36
バ,5.36,5.5
ラ,5.5,5.58
の,5.58,5.74
木,5.74,5.86
が,5.86,6.08
さ,6.08,6.58
わ,6.58,6.68
って,6.68,6.86
いました。,6.86,7.22
その,8.32,8.6
木,8.6,8.76
には,8.76,8.98
白,8.98,9.24
い,9.24,9.4
バ,9.4,9.5
ラ,9.5,9.58
が,9.58,9.72
咲,9.72,9.92
いて,9.92,10.06
いました,10.06,10.42
が、,10.42,10.72
織,11.38,11.6
紙,11.6,11.86
も,11.86,12.34
縁,12.34,12.92
締,12.92,13.12
が,13.12,13.38
三,13.38,13.82
人,13.82,14.02
ば,14.02,14.22
か,14.22,14.38
り,14.38,14.52
で、,14.52,14.78
せ,15.3,15.48
っ,15.48,15.6
せ,15.6,15.72
と,15.72,15.9
それ,15.9,16.2
を,16.2,16.46
赤,16.46,17.26
く,17.26,17.5
塗,17.5,17.78
って,17.78,17.92
いる,17.92,18.1
ところ,18.1,18.34
でした。,18.34,18.64
ア,19.86,20.0
リ,20.0,20.08
ス,20.08,20.22
は,20.22,20.36
これ,20.36,20.54
を,20.54,20.68
見て、,20.68,20.9
ず,21.34,21.56
い,21.56,21.66
ぶ,21.66,21.8
ん,21.8,22.02
変,22.02,22.24
わ,22.24,22.36
った,22.36,22.56
や,22.56,22.72
り,22.72,22.84
方,22.84,22.98
だ,22.98,23.14
な,23.14,23.28
と思,23.28,23.82
い、,23.82,24.1
も,24.52,24.74
っと,24.74,24.92
よ,24.92,25.04
く,25.04,25.16
見,25.16,25.3
よう,25.3,25.46
と,25.46,26.0
そ,26.0,26.26
ば,26.26,26.4
へ,26.4,26.6
行,26.6,27.04
って,27.04,27.16
み,27.16,27.32
ました。,27.32,27.58
する,28.68,28.94
と、,28.94,29.16
一,29.34,29.58
人,29.58,29.7
が,29.7,29.88
こう,29.88,30.14
いう,30.14,30.32
の,30.32,30.46
が,30.46,30.64
聞,30.64,30.92
こ,30.92,31.06
えて,31.06,31.16
き,31.16,31.32
ました。,31.32,31.62
