text,start,end
Gần,0.0,0.8
cử,0.8,1.06
vườn,1.06,1.38
"hoa,",1.38,1.78
một,1.94,2.14
khóm,2.14,2.56
hồng,2.56,3.12
rất,3.12,3.9
lớn,3.9,4.22
đang,4.22,4.46
nở,4.46,4.72
hoa,4.72,5.0
màu,5.0,5.26
trắng.,5.26,5.56
Ba,6.04,6.26
người,6.26,6.5
làm,6.5,6.72
vườn,6.72,7.04
đang,7.04,7.24
chăm,7.24,7.48
chú,7.48,7.7
sơn.,7.7,8.08
Những,8.32,8.74
bông,8.74,9.0
hoa,9.0,9.32
trắng,9.32,9.66
đó,9.66,10.04
thành,10.04,10.3
màu,10.3,10.56
đỏ.,10.56,10.84
Alistair,11.2,11.8
mò,11.8,12.04
tì,12.04,12.3
tiến,12.3,12.72
lại.,12.72,13.04
Nghe,13.82,14.12
thấy,14.12,14.38
một,14.38,14.76
trong,14.76,15.08
số,15.08,15.34
họ,15.34,15.56
đang,15.56,15.8
"nói,",15.8,16.1
Cẩn,16.14,16.62
thận,16.62,16.8
chút,16.8,17.04
"đi,",17.04,17.32
quân,17.76,17.98
5.,17.98,18.26
Cậu,19.34,19.7
làm,19.7,20.0
đổ,20.0,20.3
màu,20.3,20.68
sơn,20.68,20.9
lên,20.9,21.14
người,21.14,21.4
tôi,21.4,21.64
rồi,21.64,21.96
đấy.,21.96,22.24
Quân,23.0,23.3
5,23.3,23.6
bực,23.6,24.06
dọc,24.06,24.44
đát.,24.44,24.72
Tôi,25.16,25.38
biết,25.38,25.54
làm,25.54,25.74
thế,25.74,25.92
"nào,",25.92,26.24
tại,26.56,26.72
quân,26.72,27.02
7,27.02,27.32
cứ,27.32,27.62
hít,27.62,27.94
vào,27.94,28.16
tay,28.16,28.36
tôi,28.36,28.56
đấy,28.56,28.76
chứ.,28.76,29.04
Quân,29.5,29.72
7,29.72,29.9
nghe,29.9,30.14
vậy,30.14,30.42
thì,30.42,30.7
ngẫn,30.7,31.0
đầu,31.0,31.18
lên.,31.18,31.42
Được,31.72,32.04
"lắm,",32.04,32.36
quân,32.56,32.8
5.,32.8,33.04
Cậu,33.52,33.78
toàn,33.78,34.1
đổ,34.1,34.36
tội,34.36,34.62
cho,34.62,34.84
tôi,34.84,35.12
thôi.,35.12,35.44
Quân,36.34,36.64
5,36.64,36.82
"nói,",36.82,37.14
tốt,37.5,37.84
nhất,37.84,38.04
cậu,38.04,38.26
đừng,38.26,38.48
có,38.48,38.68
mở,38.68,38.9
miệng.,38.9,39.22
Hôm,39.68,39.94
qua,39.94,40.18
tôi,40.18,40.5
vừa,40.5,40.72
nghe,40.72,40.92
thấy,40.92,41.14
hoàng,41.14,41.44
hậu,41.44,41.68
nói,41.68,41.94
cậu,41.94,42.24
đang,42.24,42.42
bị,42.42,42.6
chém,42.6,42.88
đầu,42.88,43.08
đấy.,43.08,43.3
Tại,43.9,44.2
sao,44.2,44.4
kia,44.4,44.68
chứ?,44.68,44.98
Người,45.26,45.54
nói,45.54,45.76
đầu,45.76,45.98
tiên,45.98,46.22
hỏi.,46.22,46.52
Chẳng,47.5,47.78
can,47.78,48.0
nệ,48.0,48.22
gì,48.22,48.4
tới,48.4,48.64
"cậu,",48.64,48.9
quân,49.02,49.22
2.,49.22,49.52
Quân,49.68,50.0
7,50.0,50.18
đáp.,50.18,50.44
Quân,50.88,51.16
5,51.16,51.38
"nói,",51.38,51.68
không,52.02,52.22
có,52.22,52.42
liên,52.42,52.66
quan,52.66,52.88
tới,52.88,53.22
cậu,53.22,53.54
ta,53.54,53.7
đấy.,53.7,53.96
Tôi,54.48,54.68
cần,54.68,54.92
phải,54.92,55.14
nói,55.14,55.38
với,55.38,55.58
cậu,55.58,55.84
"ta,",55.84,56.12
bởi,56.32,56.6
vì,56.6,56.76
lẽ,56.76,57.02
ra,57.02,57.24
phải,57.24,57.54
mang,57.54,57.86
hành,57.86,58.32
vào,58.32,58.66
"bếp,",58.66,59.12
thì,59.34,59.5
cậu,59.5,59.74
ta,59.74,59.88
lại,59.88,60.06
mang,60.06,60.28
củ,60.28,60.54
hoa,60.54,60.8
tulip.,60.8,61.16
Quân,61.8,62.12
7,62.12,62.4
quảng,62.4,62.82
2,62.82,63.24
trỗi,63.24,63.52
trên,63.52,63.74
tay,63.74,64.02
mình,64.02,64.3
rồi,64.3,64.64
xuống,64.64,64.98
"đất,",64.98,65.26
và,65.54,65.7
"nói,",65.7,66.0
"Ôi,",66.62,67.0
nói,67.38,67.6
ra,67.6,67.78
chẳng,67.78,68.08
công,68.08,68.3
bằng,68.3,68.54
chút,68.54,68.76
nào.,68.76,69.06
Trợt,70.18,70.5
thấy,70.5,70.72
Alice,70.72,71.08
đang,71.08,71.32
nhìn,71.32,71.56
"họ,",71.56,71.82
anh,72.16,72.32
ta,72.32,72.46
lập,72.46,72.7
tức,72.7,72.9
im,72.9,73.12
lặng.,73.12,73.38
Hai,73.84,74.06
người,74.06,74.32
kia,74.32,74.56
cũng,74.56,74.74
quay,74.74,74.98
đầu,74.98,75.16
lại,75.16,75.36
nhìn.,75.36,75.48
Sau,75.96,76.18
đó,76.18,76.48
họ,76.48,76.8
cùng,76.8,77.18
khom,77.18,77.54
lưng,77.54,77.82
chuối,77.82,78.14
cào,78.14,78.38
Alice.,78.38,78.72
Alice,80.2,80.6
lụt,80.6,80.86
"rè,",80.86,81.16
xin,81.52,81.76
hỏi,81.76,82.14
tại,82.14,82.54
sao,82.54,82.72
các,82.72,82.94
anh,82.94,83.18
lại,83.18,83.4
phải,83.4,83.66
sơn,83.66,83.94
màu,83.94,84.2
cho,84.2,84.4
hoa,84.4,84.68
hồng?,84.68,84.94
Quân,85.72,86.0
5,86.0,86.22
và,86.22,86.38
quân,86.38,86.66
7,86.66,86.96
đều,86.96,87.52
quay,87.52,87.82
sang,87.82,88.08
nhìn,88.08,88.34
quân,88.34,88.56
2.,88.56,88.88
Quân,89.74,90.02
2,90.02,90.22
hạ,90.22,90.5
tháp,90.5,90.72
xuống.,90.72,91.08
"Ôi,",91.66,91.98
tiểu,92.02,92.22
"thư,",92.22,92.54
cô,92.78,93.08
biết,93.08,93.28
"không,",93.28,93.58
ở,93.76,93.9
đây,93.9,94.06
lẽ,94.06,94.3
ra,94.3,94.6
phải,94.6,95.28
trồng,95.28,95.58
hoa,95.58,95.86
hồng,95.86,96.12
"đỏ,",96.12,96.4
nhưng,96.82,97.02
chúng,97.02,97.26
tôi,97.26,97.48
lại,97.48,97.68
trồng,97.68,97.98
"nhầm,",97.98,98.42
toàn,98.64,98.96
hoa,98.96,99.18
hồng,99.18,99.38
trắng.,99.38,99.72
Nên,100.18,100.48
để,100.48,100.64
hoàng,100.64,100.98
hậu,100.98,101.26
biết,101.26,101.48
"được,",101.48,101.82
chúng,102.6,102.88
tôi,102.88,103.14
đều,103.14,103.54
sẽ,103.54,103.92
bị,103.92,104.1
chém,104.1,104.36
đầu.,104.36,104.64
Tiểu,105.16,105.4
thư,105.4,105.66
"ơi,",105.66,105.94
cô,106.26,106.44
thấy,106.44,106.68
"đấy,",106.68,106.94
chúng,107.16,107.4
tôi,107.4,107.62
đang,107.62,107.86
cố,107.86,108.04
gắng,108.04,108.26
tìm,108.26,108.56
"cách,",108.56,108.86
phải?,109.08,109.62
Quân,110.74,111.06
5,111.06,111.4
đang,111.4,111.98
lo,111.98,112.26
"lắng,",112.26,112.64
quan,112.92,113.14
sát,113.14,113.4
phía,113.4,113.7
cổng,113.7,114.06
vườn,114.06,114.3
hoa.,114.3,114.62
Bỗng,114.9,115.18
anh,115.18,115.3
ta,115.3,115.48
kêu,115.48,115.74
"lên,",115.74,115.96
hoàng,116.26,116.58
"hậu,",116.58,116.88
hoàng,116.94,117.14
hậu,117.14,117.36
tới!,117.36,117.66
Ba,118.36,118.58
người,118.58,118.84
làm,118.84,119.12
vườn,119.12,119.58
lập,119.58,120.06
tức,120.06,120.5
nằm,120.5,121.04
úp,121.04,121.24
mặt,121.24,121.44
xuống,121.44,121.68
đất.,121.68,121.92
Tiến,122.12,122.42
bước,122.42,122.66
chân,122.66,122.96
của,122.96,123.18
đoàn,123.18,123.46
người,123.46,123.74
lẫn,123.74,124.04
ngựa,124.04,124.4
tới,124.4,124.56
gần.,124.56,124.88
Alice,125.2,125.64
tò,125.64,125.9
"mò,",125.9,126.2
chờ,126.34,126.54
đợi.,126.54,126.88
Cô,127.14,127.46
rất,127.46,127.7
muốn,127.7,127.96
được,127.96,128.16
nhìn,128.16,128.36
thấy,128.36,128.54
hoàng,128.54,128.86
hậu.,128.86,129.14
Đi,129.48,129.72
đầu,129.72,129.94
tiên,129.94,130.22
là,130.22,130.42
10,130.42,130.64
tên,130.64,130.98
"lính,",130.98,131.36
cầm,131.76,132.06
cây,132.06,132.32
gậy.,132.32,132.6
Hình,133.52,133.82
dáng,133.82,134.16
họ,134.16,134.36
cũng,134.36,134.56
giống,134.56,134.82
với,134.82,135.08
ba,135.08,135.36
người,135.36,135.62
làm,135.62,135.86
vườn.,135.86,136.24
Đều,136.72,137.06
là,137.06,137.26
hình,137.26,137.5
chữ,137.5,137.72
"nhật,",137.72,138.02
vừa,138.48,138.64
mỏng,138.64,139.06
vừa,139.06,139.46
dẹt.,139.46,139.84
Chân,140.42,140.72
và,140.72,140.92
tay,140.92,141.26
mọc,141.26,142.02
ở,142.02,142.2
bốn,142.2,142.44
góc.,142.44,142.68
Tiếp,143.52,143.82
theo,143.82,144.16
là,144.16,144.44
10,144.44,144.68
viên,144.68,144.96
đại,144.96,145.22
"thần,",145.22,145.52
khoát,145.88,146.26
trên,146.26,146.52
người,146.52,146.82
những,146.82,147.1
bộ,147.1,147.32
trang,147.32,147.56
"phục,",147.56,147.8
giác,148.14,148.46
đầy,148.46,148.76
kim,148.76,148.98
"cương,",148.98,149.34
cũng,149.76,149.98
giống,149.98,150.26
như,150.26,150.44
những,150.44,150.68
tên,150.68,150.92
lính,150.92,151.16
đi,151.16,151.34
"trước,",151.34,151.66
cứ,152.0,152.18
từng,152.18,152.48
cặp,152.48,152.7
đi,152.7,152.86
song,152.86,153.12
song.,153.12,153.4
Sau,153.84,154.06
đó,154.06,154.28
là,154.28,154.44
các,154.44,154.66
hoàng,154.66,154.96
tử,154.96,155.22
và,155.22,155.38
công,155.38,155.66
"chúa,",155.66,156.02
những,156.48,156.62
đứa,156.62,156.9
trẻ,156.9,157.1
đáng,157.1,157.38
"yêu,",157.38,157.72
này,158.08,158.3
mặc,158.3,158.6
trên,158.6,158.88
người,158.88,159.12
những,159.12,159.34
bộ,159.34,159.56
quần,159.56,159.82
áo,159.82,160.06
có,160.06,160.28
hình,160.28,160.48
trái,160.48,160.74
tim.,160.74,161.04
Từng,161.72,161.96
đổi,161.96,162.2
"một,",162.2,162.56
nắm,162.72,162.96
tay,162.96,163.18
"nhau,",163.18,163.54
vừa,163.68,163.9
đi,163.9,164.1
vừa,164.1,164.38
nhảy,164.38,164.66
nhó.,164.66,164.9
Phía,165.6,165.86
sau,165.86,166.08
các,166.08,166.32
hoàng,166.32,166.56
tử,166.56,166.8
và,166.8,166.98
công,166.98,167.22
chúa,167.22,167.5
là,167.5,167.7
đoàn,167.7,167.98
khách,167.98,168.22
mời.,168.22,168.48
Đa,168.9,169.18
số,169.18,169.38
đều,169.38,169.62
là,169.62,169.78
các,169.78,170.02
vị,170.02,170.2
quốc,170.2,170.52
vương,170.52,170.84
và,170.84,171.06
hoàng,171.06,171.38
hậu.,171.38,171.48
Alice,172.06,172.44
nhận,172.44,172.72
ra,172.72,172.98
thỏ,172.98,173.32
trắng,173.32,173.58
trong,173.58,173.82
số,173.82,174.0
đó.,174.0,174.26
Nó,174.76,175.0
đang,175.0,175.22
nói,175.22,175.52
với,175.52,175.76
vẻ,175.76,176.04
bồn,176.04,176.36
trồn.,176.36,176.48
Khi,177.06,177.32
nói,177.32,177.6
chuyện,177.6,177.96
với,177.96,178.14
người,178.14,178.34
"khác,",178.34,178.66
nó,178.76,178.86
luôn,178.86,179.1
gật,179.1,179.4
đầu,179.4,179.6
miễm,179.6,179.9
cười.,179.9,180.18
Tiếp,180.62,180.94
theo,180.94,181.3
là,181.3,181.54
viên,181.54,181.9
cận,181.9,182.16
thần,182.16,182.42
Jaker.,182.42,182.94
Hai,183.44,183.68
tay,183.68,184.02
hắn,184.02,184.4
bê,184.4,184.76
chiếc,184.76,185.1
nệm,185.1,185.42
nhung,185.42,185.72
màu,185.72,186.02
đỏ,186.02,186.24
thẳm.,186.24,186.48
Trên,187.12,187.4
đó,187.4,187.72
đặt,187.72,188.14
vương,188.14,188.36
miệng,188.36,188.66
của,188.66,188.84
quốc,188.84,189.14
vương.,189.14,189.42
Phía,189.94,190.2
sau,190.2,190.52
đoàn,190.52,190.86
giày,190.86,191.14
đỏ,191.14,191.4
mới,191.4,191.62
là,191.62,191.8
quốc,191.8,192.08
vương,192.08,192.3
Karka,192.3,193.02
và,193.02,193.5
hoàng,193.5,193.86
hậu,193.86,194.2
Kilka.,194.2,194.82
Ai,195.64,195.9
trà!,195.9,196.3
Tất,196.68,197.2
cả,197.2,197.56
họ,197.56,197.94
chính,197.94,198.26
là,198.26,198.46
một,198.46,198.74
bộ,198.74,199.32
đại,199.32,199.78
bài,199.78,200.32
tú,200.32,200.8
lơ,200.8,201.2
khơ.,201.2,201.42
Alice,202.26,202.72
vân,202.72,202.96
vân,202.96,203.16
không,203.16,203.38
biết,203.38,203.56
mình,203.56,203.8
có,203.8,203.98
nên,203.98,204.22
bắt,204.22,204.44
trước,204.44,204.66
ba,204.66,204.88
người,204.88,205.1
làm,205.1,205.34
vườn,205.34,205.76
úp,205.76,206.24
mặt,206.24,206.42
xuống,206.42,206.68
đất,206.68,206.88
hay,206.88,207.02
không.,207.02,207.34
Nhưng,207.9,208.18
rồi,208.18,208.4
cô,208.4,208.58
"nghĩ,",208.58,208.88
nếu,209.26,209.48
mọi,209.48,209.7
người,209.7,209.9
đều,209.9,210.1
úp,210.1,210.3
mặt,210.3,210.48
xuống,210.48,210.72
"đất,",210.72,210.96
thì,211.58,211.78
người,211.78,212.04
ta,212.04,212.28
còn,212.28,212.62
tổ,212.62,213.08
chức,213.08,213.36
diễu,213.36,214.04
hành,214.04,214.22
làm,214.22,214.46
"gì,",214.46,214.72
vì,214.9,215.3
có,215.3,215.5
ai,215.5,215.7
nhìn,215.7,215.94
thấy,215.94,216.14
đâu.,216.14,216.4
Vì,217.28,217.48
thế,217.48,217.68
cô,217.68,217.94
đứng,217.94,218.18
yên,218.18,218.42
chờ,218.42,218.64
đợi.,218.64,218.94
Cả,219.52,219.74
đoàn,219.74,220.08
diễu,220.08,220.38
hành,220.38,220.7
dừng,220.7,221.32
lại,221.32,221.52
trước,221.52,221.76
mặt,221.76,221.98
Alice.,221.98,222.3
Mọi,222.78,223.08
người,223.08,223.28
đều,223.28,223.5
nhìn,223.5,223.74
cô.,223.74,224.02
Hoàng,224.62,224.96
hậu,224.96,225.2
nghiêm,225.2,225.48
"nghị,",225.48,225.76
hỏi,225.98,226.22
viên,226.22,226.5
cận,226.5,226.78
thần,226.78,227.06
Jaker.,227.06,227.48
Đây,228.1,228.3
là,228.3,228.54
ai?,228.54,228.92
Cận,229.82,230.1
thần,230.1,230.3
Jaker,230.3,230.66
không,230.66,230.92
"đáp,",230.92,231.26
chỉ,231.5,231.66
cuối,231.66,231.94
đầu,231.94,232.16
chào,232.16,232.56
và,232.56,232.74
miễm,232.74,233.04
cười.,233.04,233.3
Đồ,233.86,234.12
ngốc!,234.12,234.36
Hoàng,234.76,235.12
hậu,235.12,235.36
hết,235.36,235.62
kiên,235.62,235.96
nhẫn,235.96,236.2
lắc,236.2,236.4
đầu,236.4,236.6
"nói,",236.6,236.94
sau,237.32,237.52
đó,237.52,237.78
quay,237.78,238.08
sang,238.08,238.38
hỏi,238.38,238.6
Alice.,238.6,239.02
Người,239.8,240.06
tên,240.06,240.3
"gì,",240.3,240.5
cô,240.64,240.8
bé?,240.8,241.02
Tôi,241.8,242.02
tên,242.02,242.22
là,242.22,242.38
"Alice,",242.38,242.82
thưa,242.94,243.08
hoàng,243.08,243.34
